Cycle,0.802166666667
Average Width,5.76260146693
Width,,5.11807312108,5.19898771918,6.73418130137,5.8758003144,6.10838274726,5.12938921075,6.80523405876,6.57729100665,4.48423771384,7.3211275999,5.52565440749,5.88462182817,4.9962314008,5.25738523854,5.77568754239,5.55819419297,5.69162216433,4.98057455919,5.70610431041,6.14373455548,6.14211581257
Point0,H1,(8.53147101252 35),(8.38622387447 199),(8.43773050037 371),(8.58363559801 545),(8.63431358663 709),(9.09220995097 879),(9.08774077897 1049),(8.3777177127 1227),(6.58803603733 1394),(9.25793676896 1558),(7.58845162005 1732),(8.12093597643 1907),(6.47438914439 2069),(7.71460440907 2239),(7.63088174166 2404),(7.19766507464 2575),(5.88463247882 2737),(7.52515433782 2900),(8.49405846203 3072),(7.92238830258 3239),(7.29984485898 3408),
Point0,H2,(4.33461548158 87),(3.91565545258 240),(3.57559594972 420),,(3.62662601284 756),(3.75084102466 928),,,,,(4.99839937732 1751),(2.36005995291 1956),(2.11328244237 2114),(2.53823440469 2291),,(2.90567305146 2630),(1.49913375237 2789),,,,,
Point0,H3,(4.38317078859 95),(5.33718263738 261),(4.02221464786 433),,(4.0153555999 768),(5.04488662939 946),,,,,(5.09581046735 1758),(2.82490953878 1969),(3.28536078873 2137),(3.05258920794 2306),,(2.92845524595 2637),(1.66571542654 2800),,,,,
Point0,H4,(1.48467107583 143),(1.06075463609 303),(1.01188310449 480),,(1.13386456008 815),(1.01009829867 993),(3.37661909178 1110),(4.25820612223 1280),,(3.98397517422 1616),(2.61952082367 1782),(1.7763568394e-15 2014),(1.28299875579 2174),(0.375069619678 2357),,(0.930533720634 2674),(-0.0322491229588 2845),,,(-0.00268387934147 3347),,
Point0,H5,(1.80729947232 155),(1.25744851628 315),(1.18608997234 490),,(1.52980434598 828),(1.37148487678 1004),(3.41773413457 1118),(4.35962353078 1292),,(4.296623023 1632),(2.78770752278 1792),(0.861556726723 2031),(1.38466350909 2184),(0.430589160057 2364),,(0.946950398115 2680),(0.434078960285 2861),,,(0.242023847629 3361),,
Point0,H6,(-4.4408920985e-16 172),(-0.000827048364994 338),(-3.5527136788e-15 510),(-8.43769498715e-15 683),(-0.00359959529239 845),(-0.00151342824771 1020),(3.5527136788e-15 1194),(-0.0328664721979 1368),(7.21644966006e-15 1443),(-0.0211254422195 1530),(6.2172489379e-15 1705),(6.66133814775e-15 1877),(1.7763568394e-15 2014),(4.4408920985e-15 2204),(3.5527136788e-15 2376),(8.881784197e-16 2542),(-0.00270222088025 2705),(-0.0322491229588 2845),(1.33226762955e-15 3036),(-1.7763568394e-15 3211),(-0.00268387934147 3347),(-0.0170675612796 3540),
Point1,H1,(9.74510579574 35),(9.58679129155 199),(9.92262947769 372),(9.41852511103 546),(9.58222231672 711),(10.3834239005 881),(9.94921253702 1049),(9.05451792104 1227),(8.66749549026 1395),(9.24094093163 1559),(9.5297889441 1733),(8.97125966679 1908),(7.58925789389 2071),(8.83699131903 2240),(8.64493642049 2405),(8.25497116859 2576),(7.3194927806 2738),(9.186357728 2901),(9.84897029543 3072),(8.83556520804 3240),(8.27448027397 3408),
Point1,H2,,,(3.89039139768 420),,(3.82603055744 756),(4.22658468852 931),(4.13505592024 1113),,,,(3.64103888306 1780),,(2.756418095 2114),(2.6277092366 2293),,(3.09714157076 2626),(1.55616604633 2786),(3.04536596065 2955),(4.23476458075 3123),(2.50523741587 3298),,
Point1,H3,,,(4.87868717944 435),,(4.51308331349 770),(5.53311802831 947),(4.16481701026 1121),,,,(4.18243682679 1793),,(3.38729887113 2134),(3.12650477631 2306),,(3.69413125856 2641),(2.41570975172 2803),(3.32639198626 2969),(5.02648146274 3137),(2.51946652785 3305),,
Point1,H4,(1.62513375487 145),(4.68771831134 245),(1.25465217005 481),,(1.17068281174 815),(0.890576455292 992),(1.60771694523 1172),,,(3.85671259923 1620),(-0.00358156463398 1862),,(1.17983259614 2176),(0.451224252206 2358),,(1.37131781278 2672),(0.433910283599 2834),(0.88245524731 3005),(1.19891146955 3186),(0.213789152142 3346),,
Point1,H5,(1.92640911126 156),(5.1753351565 267),(1.27852710779 486),,(1.49882714633 827),(1.5402891889 1006),(1.64010981072 1178),,,(4.08318555681 1634),(0.158919369685 1872),,(1.45417273493 2188),(0.511068152717 2365),,(1.44140340729 2680),(0.850826161974 2860),(1.62812451178 3021),(1.37424745725 3195),(0.328331074979 3357),,
Point1,H6,(8.881784197e-16 173),(-0.00341768267592 338),(-5.3290705182e-15 509),(-5.3290705182e-15 683),(-8.881784197e-15 846),(-6.2172489379e-15 1021),(8.881784197e-16 1197),(0.0 1368),(-8.881784197e-16 1533),(-1.7763568394e-15 1706),(-0.00358156463398 1862),(-0.00620320392088 2013),(0.0 2205),(-3.99680288865e-15 2377),(-8.881784197e-16 2543),(-0.00412949290236 2707),(-0.0113326291007 2874),(0.0 3038),(2.6645352591e-15 3212),(4.88498130835e-15 3370),(-0.0061567451466 3541),
Point2,H1,(7.97861516968 39),(7.94741689008 203),(9.63909224103 375),(8.06746177783 550),(8.47531265719 714),(8.51343087434 884),(9.0920138069 1054),(8.0554781678 1231),(7.29152202005 1399),(7.81714154918 1564),(8.95011169198 1737),(7.7470816434 1911),(6.27121937798 2074),(7.40025051978 2243),(7.58574632125 2407),(7.17461175146 2581),(6.92835163085 2741),(7.88320792158 2904),(8.78290153259 3075),(7.87604956894 3242),(7.49388010508 3411),
Point2,H2,(3.40746899314 89),(4.93734218331 248),,(3.44829656314 597),,(3.45443683053 933),,(3.89669636841 1291),(1.8823468843 1448),(3.76041539961 1622),(7.03086507164 1755),(1.67891394208 1959),(1.98691674905 2117),(2.21663132031 2296),,,,(1.69068850202 2956),,(2.21314093871 3304),,
Point2,H3,(3.66908660791 105),(5.26011632509 265),,(4.45672140743 612),,(4.60429817434 950),,(3.8968299764 1293),(2.53004333831 1467),(4.03627357181 1636),(7.0527947781 1759),(2.60855761708 1975),(2.6562353945 2135),(2.66433427636 2311),,,,(1.93238103902 2970),,(2.23280955692 3311),,
