Cycle,0.64875
Average Width,4.82790680362
Width,,4.42405670487,4.08174839135,4.63324680665,4.80765981511,5.03478357747,4.97564758978,5.31143379078,4.33127032141,4.29946889342,5.52206016363,4.64861423216,4.28078778557,4.80916442692,4.34658717795,4.47114548318,4.67293131724,5.44489057538,6.04138535887,4.48025107927,5.75921633938,5.0096930456
Point0,H1,(10.9040820206 104),(5.2310457642 174),(11.0167564583 368),(9.99827741912 477),(9.74561504309 659),(5.34186909744 796),(8.9909011615 921),(8.85771756365 1063),(17.1635684474 1197),(8.07890298826 1338),(8.36791379406 1443),(12.9347616598 1607),(11.0733749515 1741),(8.24392002691 1842),(7.70934019767 2008),(8.51503079104 2140),(10.1471513491 2240),(9.9826549539 2388),(7.69256403653 2562),(10.4611338128 2669),(11.5466858127 2816),
Point0,H2,,,,,,,(-1.15463194561e-14 949),,,(4.4408920985e-16 1362),,(-0.00293841871935 1634),,,,,,,,,,
Point0,H3,,,,,,,(6.49371654365 993),,,(1.98491922883 1378),,(2.85642104704 1649),,,,,,,,,,
Point0,H4,,,,,,,(5.84490390971 1005),(-2.6645352591e-15 1090),(-0.0125113813974 1246),(1.83003673033 1385),,(0.701512032973 1666),(-0.0094125733866 1775),,(-0.00254599766661 2053),(7.9936057773e-15 2182),,,(2.6645352591e-15 2596),(1.7763568394e-15 2722),,
Point0,H5,,,,,,,(6.59096110736 1019),(13.8804769855 1163),(1.59034749735 1261),(5.91856101505 1407),,(1.08989989744 1676),(7.49112488001 1807),,(4.47429844505 2085),(7.87431760064 2209),,,(3.28763122714 2621),(8.16189985944 2778),,
Point0,H6,(-6.2172489379e-15 130),(-0.00171651988189 271),(-6.2172489379e-15 415),(-8.881784197e-15 551),(-0.000811870601733 719),(-6.2172489379e-15 816),(-5.77315972805e-15 876),(-1.15463194561e-14 949),(-2.6645352591e-15 1090),(-0.0125113813974 1246),(4.4408920985e-16 1362),(-0.00245798127181 1493),(-0.00293841871935 1634),(0.481583680016 1688),(-0.0094125733866 1775),(-0.00503553305518 1909),(-0.00254599766661 2053),(7.9936057773e-15 2182),(-8.881784197e-16 2318),(5.3290705182e-15 2497),(2.6645352591e-15 2596),(1.7763568394e-15 2722),(1.06581410364e-14 2862),(-0.00720324513501 2931),
Point1,H1,(15.795139777 107),(10.5997858623 245),(15.2846385934 373),(13.9249809324 481),(12.6098589415 654),(8.18788557261 795),(12.3873574908 922),(13.4347832417 1064),(22.6427968909 1198),(10.7038394457 1337),(11.3293761335 1465),(17.7380529772 1607),(15.3279407124 1741),(12.7675608209 1874),(11.9707131544 2012),(12.0981108942 2145),(12.9465851339 2275),(10.556334125 2427),(10.1490450335 2563),(11.5561008267 2671),(13.3742125462 2817),
Point1,H2,(5.3290705182e-15 132),,,(12.1296061092 502),,(1.33226762955e-14 817),(-0.0902783010016 954),,,,,(2.39808173319e-14 1634),(1.59872115546e-14 1777),(1.7763568394e-14 1910),,(1.7763568394e-14 2183),(2.13162820728e-14 2320),(1.74064852797 2460),,(9.94976787589 2688),,
Point1,H3,(7.3979700732 175),,,(12.601808278 515),,(2.56809747974 832),(8.64881976261 999),,,,,(4.28921273239 1650),(9.61082667791 1808),(9.20536454087 1944),,(8.20083289274 2211),(4.65014846398 2339),(4.46494861362 2477),,(10.0901380768 2695),,
Point1,H4,(6.78672783395 187),(-7.1054273576e-15 273),,(-0.00874564150951 551),,(0.214923478821 846),(8.64848013741 1000),(8.881784197e-15 1092),(-0.0394014990448 1245),,(-0.0243715496573 1493),(2.09003686825 1665),(8.32393777781 1822),(6.54775956855 1964),,(7.7609175441 2220),(2.03688623981 2357),(1.7763568394e-14 2498),(1.7763568394e-14 2597),(1.24344978758e-14 2728),,
