Cycle,0.8426
Average Width,4.8221846656
Width,,4.97104746318,4.87983532823,4.89984383624,4.96334809991,4.94323268052,4.90779875799,4.8222668435,4.80988134256,4.81575883592,4.73593834737,4.79062251234,4.75550208249,4.80624378954,4.86814804915,4.84536703458,4.72388285582,4.80190708398,4.74191940346,4.73298508428,4.76965929126,4.6806892553
Point0,H1,(5.88829320191 84),(3.27210049031 256),(7.26662303716 429),(7.96862989465 597),(6.69534348149 773),(8.12049030272 945),(7.79212212416 1103),(5.17921237237 1316),(7.24486977019 1487),(6.44854768239 1660),(6.8051918572 1842),(5.92467031579 1990),(8.02330025003 2169),(9.00751265296 2366),(7.09923176719 2569),(7.12855886305 2718),(10.1360573282 2910),(7.90073183361 3088),(6.55961986221 3267),(8.39915321206 3410),(3.90497779879 3640),
Point0,H2,(2.45855242708 134),,,(3.67733580636 653),(1.3770895044 834),(7.21639119236 965),,(1.31367597954 1357),(3.9382144649 1511),(4.03230096923 1682),,(4.81509010194 2007),(2.33467386477 2284),,,(1.09469807664 2795),,(-2.22044604925e-15 3183),,,,
Point0,H3,(2.56017211963 143),,,(4.55520482293 671),(1.8360947184 845),(7.22260095784 968),,(1.66474098992 1378),(4.04426489993 1518),(4.92792865608 1698),,(5.13287268256 2023),(2.92004842945 2298),,,(1.18818305273 2810),,(1.11826643594 3202),,,,
Point0,H4,(0.0 182),,,(8.881784197e-16 711),(-0.00100518021458 862),(6.2172489379e-15 1035),(1.51594417937 1194),(1.7763568394e-15 1409),(1.25024163471 1557),(-0.00240141706493 1766),,(-0.000164771881687 2083),(-8.881784197e-16 2317),,,(-0.00736806853399 2839),(-0.00263487702787 3017),(1.00440899128 3210),,,,
Point0,H5,(1.95454857998 214),,,(4.74736597867 738),(2.26780219009 879),(2.19634811737 1055),(2.18856140832 1219),(6.36948325897 1456),(1.33841231038 1567),(5.26997156037 1813),,(1.43421693655 2125),(8.99034073429 2343),,,(10.02070493 2886),(7.18382576871 3057),(4.24009716509 3236),,,,
Point0,H6,(-0.0171356543717 2),(0.0 182),(-0.00493250486161 363),(4.4408920985e-15 540),(8.881784197e-16 711),(-0.00100518021458 862),(6.2172489379e-15 1035),(-4.4408920985e-16 1246),(1.7763568394e-15 1409),(7.1054273576e-15 1594),(-0.00240141706493 1766),(-7.54951656745e-15 1965),(-0.000164771881687 2083),(-8.881784197e-16 2317),(8.881784197e-16 2492),(-4.4408920985e-16 2663),(-0.00736806853399 2839),(-0.00263487702787 3017),(-2.22044604925e-15 3183),(-0.00304348244142 3372),(-0.328635046756 3560),
Point1,H1,(40.8361043871 44),(37.9196546614 216),(42.6521977273 383),(43.5611363874 557),(40.3908362472 749),(44.5233474079 923),(48.461674075 1099),(45.1761139631 1277),(45.6992651739 1452),(48.4782870185 1630),(45.7181344084 1804),(42.5317002512 1980),(46.9940376966 2156),(48.715922497 2349),(45.3608219683 2525),(49.1956550829 2701),(53.3600979477 2877),(48.6179144192 3052),(43.5038963299 3228),(49.7275471191 3404),(43.532320892 3580),
Point1,H2,,(15.0668283492 252),,,(16.3672041906 780),(18.1512627662 955),,,,(15.7353596505 1676),,(13.2594074585 2026),(15.9663506112 2202),(19.1524273649 2380),,,,,,,
Point1,H3,,(15.3490973292 259),,,(16.8475479089 787),(18.8803340757 964),,,,(15.7960786498 1680),,(13.6958890387 2034),(17.4229194997 2212),(19.7398463474 2387),,,,,,,
Point1,H4,(3.8547595857 150),(3.5784638578 325),,,(2.53143885503 851),(3.21506151972 1027),(5.68476895426 1205),(4.24997663957 1381),(4.50798203333 1557),(3.84992818838 1734),(15.1227743079 1849),(1.35851616015 2101),(4.12924898128 2276),(4.98424301132 2452),(4.93259763531 2630),(5.02283575166 2804),(5.45788225366 2981),(16.0738194055 3101),(15.0426794794 3277),,
Point1,H5,(4.27371588979 159),(4.29373719335 335),,,(4.87463910554 865),(6.08536527125 1041),(6.05840437273 1214),(4.80148764016 1391),(4.80967929865 1566),(3.85499428144 1736),(15.7659085213 1858),(1.78890559827 2111),(5.52592429211 2288),(6.45170452399 2464),(5.35126871766 2638),(5.98137798295 2815),(5.75038011391 2989),(16.1160713574 3104),(15.0453411013 3278),,
Point1,H6,(-2.30926389122e-14 175),(1.42108547152e-14 351),(7.1054273576e-15 526),(1.06581410364e-14 702),(7.1054273576e-15 880),(1.42108547152e-14 1057),(-7.1054273576e-15 1233),(0.0 1408),(3.5527136788e-15 1586),(-1.42108547152e-14 1764),(-3.73034936274e-14 1945),(-1.7763568394e-14 2124),(7.1054273576e-15 2303),(1.42108547152e-14 2481),(1.06581410364e-14 2656),(1.06581410364e-14 2833),(2.48689957516e-14 3010),(1.59872115546e-14 3191),(1.7763568394e-14 3368),(5.3290705182e-15 3550),
Point2,H1,(65.2706182016 44),(59.324510095 217),(61.7895507256 396),(60.768256401 556),(60.9361306224 747),(61.2903749735 922),(63.4001129607 1100),(63.769503115 1276),(66.4881999242 1453),(66.0095409867 1627),(63.1007055462 1803),(59.0217117701 1979),(60.2874341902 2155),(60.0285958934 2347),(63.2741205526 2524),(63.0232775151 2700),(64.2044404377 2876),(64.2554857118 3052),(61.3294443257 3227),(61.4859758421 3403),(59.6607329432 3580),
Point2,H2,,,(23.5545960533 426),,,(24.479999305 953),,,,,,,(20.7258399875 2201),(24.5128495888 2379),,,(22.3685088406 2924),,,,
Point2,H3,,,(24.6449126623 435),,,(26.7550042585 963),,,,,,,(22.8793168234 2211),(25.167231236 2387),,,(22.3838565644 2926),,,,
Point2,H4,,,(3.26340030616 501),,,(6.62989353252 1028),(6.3134354755 1204),(7.19403282941 1380),(7.14821230176 1557),,(20.491205591 1847),(17.9255038224 2025),(4.57061409342 2276),(7.42529955649 2452),(7.75316585221 2626),(6.64497072238 2804),(7.58917156826 2981),(21.5398184074 3097),(19.9702020474 3273),,
Point2,H5,,,(4.90441029777 512),,,(7.57825881571 1038),(7.24457274299 1214),(8.60200758705 1390),(7.21351195228 1562),,(21.7856865354 1857),(19.1959618228 2034),(5.847304386 2287),(8.2057858046 2461),(9.80516268729 2638),(7.21101019635 2813),(7.65812845816 2986),(22.0768589225 3105),(20.2735642462 3280),,
Point2,H6,(-1.06581410364e-14 175),(-0.00537263065988 350),(3.5527136788e-14 525),(0.0 702),(-1.7763568394e-14 878),(-1.42108547152e-14 1055),(2.84217094304e-14 1232),(3.90798504668e-14 1408),(-0.0100322927793 1585),(-5.68434188608e-14 1762),(-1.06581410364e-14 1944),(2.48689957516e-14 2121),(7.1054273576e-15 2302),(-2.48689957516e-14 2480),(-1.42108547152e-14 2656),(1.42108547152e-14 2832),(1.42108547152e-14 3009),(4.61852778244e-14 3189),(-3.5527136788e-15 3367),(7.1054273576e-15 3549),
Point3,H1,(58.0373698318 45),(51.3149264528 218),(51.3634433599 397),(48.8810148425 556),(52.3858699014 748),(49.7803051389 924),(49.5830368606 1101),(52.1034498387 1276),(53.8409410366 1452),(50.624720644 1627),(49.7108731689 1803),(46.7374187057 1979),(45.9835377785 2155),(44.9920471007 2348),(51.0878659073 2525),(47.455229244 2700),(47.3848384388 2875),(48.1743586785 3052),(47.1219286558 3227),(45.1694454809 3403),(45.381960414 3581),
Point3,H2,,,(20.3361799538 428),,(20.6356982459 779),(20.984705888 953),,(10.1548016543 1356),,,,,(17.2037533295 2201),(19.9873443754 2383),,,(17.7494350795 2921),,,,
Point3,H3,,,(20.7677985712 434),,(21.535405185 787),(22.3054251973 963),,(10.1604796805 1358),,,,,(18.1901672197 2210),(19.989477832 2384),,,(18.1222871195 2929),,,,
Point3,H4,(6.84606053687 150),,(2.81429501375 500),,(5.76475165011 853),(5.19323817303 1028),(5.57557873969 1205),(5.62954949728 1380),,(17.671656767 1675),(17.9711188426 1848),(15.3236166765 2026),(3.28444084531 2276),(5.47919104738 2453),(5.68397013769 2625),(4.99325087935 2805),(5.78780820427 2982),(17.2982160806 3097),(16.5574540862 3273),,
Point3,H5,(7.26637200279 157),,(4.52292554028 512),,(6.17094969329 861),(5.85857256899 1038),(5.93891219958 1213),(6.75926802875 1391),,(17.6890305506 1678),(18.9422714957 1857),(15.7401543882 2033),(4.40063745403 2287),(5.76168551752 2461),(7.23611967961 2638),(5.1607621167 2812),(5.79339241485 2984),(17.8348718063 3105),(16.7961875257 3280),,
Point3,H6,(-2.13162820728e-14 175),(-1.06581410364e-14 350),(2.48689957516e-14 526),(2.84217094304e-14 702),(1.42108547152e-14 878),(1.7763568394e-14 1055),(1.42108547152e-14 1232),(-1.42108547152e-14 1408),(-0.0053290962694 1585),(3.5527136788e-15 1763),(3.5527136788e-15 1945),(-3.5527136788e-15 2122),(1.06581410364e-14 2302),(7.1054273576e-15 2479),(1.42108547152e-14 2656),(1.42108547152e-14 2832),(1.7763568394e-14 3009),(2.13162820728e-14 3189),(0.0 3367),(-3.5527136788e-15 3549),
Point4,H1,(36.9110553026 45),(32.8572311705 220),(31.8654187433 398),(32.5071379623 575),(32.9259143789 751),(31.2710508659 924),(30.4084675998 1099),(32.2045316391 1275),(31.9677949088 1451),(29.8954085418 1626),(29.8087580425 1804),(27.1857639199 1979),(27.9019398062 2156),(28.9171602706 2349),(31.3998194246 2525),(27.5210827111 2698),(28.37738622 2876),(27.9433055782 3051),(27.0147634718 3228),(27.1660046561 3404),(26.8939868393 3598),
Point4,H2,,(2.96931383329 324),,(15.2321984205 602),,,,,,(12.393506665 1671),(11.9990679336 1852),(2.67046460067 2076),(11.0830658591 2201),,,(3.98965791085 2777),,,,,
Point4,H3,,(3.45722995852 334),,(15.7065628654 610),,,,,,(12.8851095635 1680),(12.0184497964 1855),(2.72452244184 2082),(11.5496823765 2210),,,(4.28061670316 2785),,,,,
Point4,H4,(4.15936321537 148),(4.08562073062e-14 350),,,(2.99671532944 852),(2.60945587132 1026),(6.48208386926 1181),(3.27806312125 1381),,,,(1.63549875746 2101),(3.37654532392 2275),,,(2.4311537769 2803),,,,,
