Cycle,0.6395
Average Width,5.75998402326
Width,,4.69212259877,5.46164185145,5.95525869595,6.12504620293,5.64258359616,5.41365353529,5.37288407432,5.64221517889,6.066434757,5.34420121641,5.56775497452,6.70134933852,5.53894628792,5.81601313488,6.67902447993,6.31655307908,5.96668392288,5.66401123768,5.59238486913,6.14553052373,5.25537093307
Point0,H1,(10.1834587218 27),(23.748780957 156),(24.6200485396 288),(17.9401905814 425),(18.9061815021 541),(18.214056791 656),(19.4003021527 772),(19.4796186671 890),(23.0321039622 1010),(21.9796418411 1151),(18.3385345037 1305),(19.9694596539 1447),(19.5084261631 1583),(17.3269376568 1715),(21.8614678446 1838),(20.8996796588 1964),(22.85723428 2094),(19.0782979986 2243),(18.2373650778 2403),(18.8859173777 2559),(17.877397142 2714),
Point0,H2,,(9.03613051106 182),,(6.19381126299 450),(6.37185599339 568),,,(7.20030175793 916),(12.1718514694 1049),,(5.67218293051 1329),(7.63004840941 1473),(6.03282094838 1611),(4.66392686221 1742),(6.82407125896 1866),(5.90240639184 1987),,,,(8.44472200446 2592),,
Point0,H3,,(9.24844380382 188),,(8.27414125298 468),(9.11411963147 586),,,(8.78022311079 932),(12.3474869535 1056),,(7.71171310261 1344),(10.8312294125 1490),(9.20999544653 1631),(8.40171195941 1761),(8.61510080584 1883),(8.80202941889 2004),,,,(10.0397946743 2611),,
Point0,H4,(1.22301676318 51),(0.874827639335 231),,(2.14595526537 494),(4.02621906856 609),(6.26160228373 685),(9.41609172366 802),(2.71613738279 957),(4.12012268693 1096),(1.5637976103 1238),(0.542859285113 1381),(1.50589383203 1528),(2.87620659493 1657),(2.3111428434 1788),(0.792695035238 1921),(0.943891516396 2041),,,,(3.38088325711 2647),,
Point0,H5,(4.2427939889 71),(3.64099264276 247),,(2.72704043915 503),(4.05351081374 612),(9.43843955643 702),(10.0866745192 814),(3.56875886145 967),(5.01548994142 1108),(2.51146306072 1253),(2.4165617309 1398),(3.68678398024 1542),(3.94239721327 1670),(3.01007591885 1798),(0.79964164834 1924),(2.8750046634 2055),,,,(3.5076112084 2654),,
Point0,H6,(-0.0878455709096 2),(-0.0689709619759 102),(-0.00416707046556 262),(-0.00729922602512 388),(-1.59872115546e-14 517),(-1.59872115546e-14 630),(-7.1054273576e-15 742),(-1.59872115546e-14 854),(-0.0109529642962 982),(-8.881784197e-15 1126),(-4.4408920985e-15 1271),(-8.881784197e-16 1414),(7.1054273576e-15 1558),(-4.4408920985e-15 1687),(1.7763568394e-15 1813),(0.0 1936),(-7.1054273576e-15 2069),(-1.68753899743e-14 2214),(-1.15463194561e-14 2375),(-1.06581410364e-14 2535),(-1.7763568394e-15 2684),
Point1,H1,(12.6480639077 32),(24.3052719317 161),(27.0412387447 294),(20.6413863781 430),(21.7680420359 546),(21.7330055807 661),(22.7098840553 776),(22.5480451901 895),(26.5353422565 1015),(26.1030493617 1156),(21.2710360617 1310),(21.3419913698 1452),(22.5620346887 1588),(19.7324169886 1720),(22.908233758 1843),(22.8939419012 1969),(25.3742122336 2099),(21.7479734124 2248),(20.7458027497 2408),(21.0993728812 2564),(20.776585597 2719),
Point1,H2,,(10.7626210056 187),,(7.74684685638 455),,,,(8.58581007622 920),(13.760509121 1053),,(7.15452697586 1334),(8.52187624265 1478),(7.63656072885 1616),(5.56749864562 1747),(7.4382601932 1871),(6.66656680001 1992),(11.5374339893 2124),,,(9.34498230343 2594),,
Point1,H3,,(10.8716258267 193),,(10.1830281433 472),,,,(10.3236369223 935),(13.9068686301 1059),,(9.1497096192 1348),(12.2305612801 1495),(10.895518159 1636),(9.16968081205 1765),(9.90221897647 1888),(10.4143878834 2010),(11.5911967155 2129),,,(11.5289918529 2614),,
Point1,H4,(2.83997977064 56),(1.98427115526 235),(1.57416080829 374),(2.7714876011 501),(7.31456575855 574),(7.73369711411 689),(10.7398672568 809),(3.68836314134 963),(4.48888103105 1101),(2.44661916582 1242),(-0.0343591480208 1387),(2.38725982734 1532),(3.25904098731 1664),(2.30025533734 1793),(0.419292418903 1925),(1.50438710426 2046),(1.74396772182 2189),,,(3.1781664893 2652),,
Point1,H5,(6.107879775 76),(4.45713806753 251),(1.57755476421 376),(3.0405517641 507),(10.5367595411 592),(12.0778652365 706),(11.3130512241 820),(3.99808107827 971),(5.44217751704 1113),(3.54719514647 1257),(2.33540070791 1404),(4.98895184526 1547),(3.6413047175 1673),(3.15718416321 1803),(0.484389275696 1931),(3.55606033734 2060),(3.53710029653 2204),,,(3.36935864311 2660),,
Point1,H6,(-0.237610498376 3),(-0.0652051046098 109),(-1.24344978758e-14 266),(-0.0040437450746 396),(-1.7763568394e-15 522),(-1.06581410364e-14 635),(0.0 748),(-0.004119711044 859),(-1.95399252334e-14 987),(-3.0527094113e-05 1131),(-0.0189918579648 1277),(-0.0343591480208 1387),(1.59872115546e-14 1563),(1.50990331349e-14 1691),(0.0 1818),(1.59872115546e-14 1940),(1.42108547152e-14 2074),(5.3290705182e-15 2219),(-7.1054273576e-15 2380),(1.7763568394e-15 2540),(-0.00249393029906 2688),
Point2,H1,(10.5156284695 31),(18.187987388 162),(23.3552471374 294),(18.9350018691 431),(19.1599606782 547),(19.3126422662 662),(19.7254171595 777),(19.9489504664 895),(24.2631533201 1015),(22.9106545064 1156),(18.7133938351 1310),(18.9060132412 1453),(19.7321614301 1589),(17.4709614316 1720),(19.824239509 1843),(20.2958168573 1969),(22.187119667 2099),(18.9943465452 2248),(17.9470130738 2409),(18.8435046926 2564),(17.6574104111 2720),
Point2,H2,(1.36435891364 57),(8.22290636109 187),,(7.0376472488 455),,,,,(13.0251285953 1055),,(6.27221943157 1335),(7.6510538464 1478),(7.14194893968 1616),(5.24364217506 1747),(6.77851325215 1871),(6.40744600846 1991),(10.2215049074 2125),,,(8.99702206079 2595),,
Point2,H3,(3.83094388475 76),(8.30640291651 192),,(9.37842441016 474),,,,,(13.0937059247 1060),,(7.88723347081 1347),(10.6464406747 1494),(10.3801347517 1636),(8.53999908512 1765),(8.79848490368 1889),(9.20346874875 2008),(10.2659012969 2129),,,(10.8250429225 2613),,
Point2,H4,(-1.01168524137 109),(1.14417971764 236),,(2.88858336847 500),(7.06203951747 574),(7.07343293311 690),(9.26701352109 807),(8.05076433546 920),(4.01708830618 1101),(2.30100381844 1242),(-0.306160261268 1388),(2.35680457794 1532),(2.83205420501 1664),(1.77541749253 1794),(0.380825596411 1926),(1.35302170735 2046),(2.02673886036 2189),,,(2.99621455559 2653),,
Point2,H5,(-0.0378956803837 127),(2.9284332035 251),,(3.14937503413 507),(9.98808239784 593),(10.3692762384 706),(10.0132767463 820),(9.4298572846 935),(5.28663865549 1114),(3.27289187139 1257),(2.07621738579 1405),(4.34455932953 1547),(3.4490512854 1674),(2.19381124368 1803),(0.443957729474 1931),(3.15291506638 2060),(3.70003567814 2204),,,(3.29085302292 2662),,
