Cycle,0.706015625
Average Width,6.2140400003
Width,,5.44273666438,6.41480412229,7.98573453711,6.25876827789,6.14724519756,6.11308874054,5.82447361545,5.24497029336,6.41139877726,5.5717133606,5.54295160045,5.26925571231,6.1560024297,5.87260056056,6.06128301869,6.63224764682,6.86455167893,5.5542988388,5.91192991213,5.7804699679,5.81203572359,5.43736209281,5.447059864,5.71940331451,5.47494093516,5.7161081005,6.13965566167,6.1772489962,7.23911738986,6.24471229638,6.22189987922,6.7247836141,6.60286860767,7.01761187225,6.81772990108,6.67516343784,6.32906772522,6.54315361172,7.32070873758,6.00025215824,5.61352528618,6.3099508666,6.91622050209,6.37306157551,7.99350031454,7.86486573068,6.38018343376,6.00410917172,4.31113426132
Point0,H1,(10.9359792763 28),(10.7459940234 180),(12.1233652304 319),(11.6710224713 459),(11.0955958783 596),(10.1416514199 727),(10.6358473387 860),(8.71903021705 997),(11.145023898 1130),(8.66154655916 1270),(9.54569361234 1406),(7.18617946388 1539),(9.46309204088 1673),(10.9948542366 1805),(11.0083953902 1947),(9.94477862906 2077),(10.6057592323 2213),(9.70378700218 2354),(10.6512109453 2487),(11.9609896309 2617),(11.0857181403 2747),(10.3223051088 2875),(10.7367662094 3004),(12.6002105192 3146),(11.4022996716 3289),(12.0820801354 3440),(13.2369333985 3595),(13.0641081976 3750),(15.7451458592 3909),(14.2144996166 4069),(14.2591113558 4231),(13.860206227 4387),(13.9740786291 4540),(15.5777250168 4696),(16.1799572437 4853),(16.2481546936 5002),(14.5617261981 5148),(13.8796027201 5288),(16.5352159239 5430),(12.6156294155 5576),(10.9419444594 5727),(14.3399709981 5892),(14.0886705651 6047),(11.8424372367 6205),(15.3910637314 6364),(13.7420390355 6512),(13.436558972 6665),(12.8786193404 6812),(6.79686160147 6954),
Point0,H2,,,(4.85632617427 348),,(3.3324357792 625),,(4.96407175484 896),(4.55327070318 1024),(6.47397960202 1167),(3.87257080465 1297),(4.58515187412 1440),(2.56787465164 1567),(3.21560777975 1711),,(4.86323979956 1976),,(2.51343776737 2240),(4.65259550016 2380),,,,(4.66646798342 2909),,(6.13871931462 3177),(5.66691439418 3324),,,(7.12102457193 3777),,(8.2145973778 4101),(8.4704438533 4261),(7.88479762973 4420),,,(9.39948934313 4887),(8.42206258312 5041),,(6.51923031927 5324),,(5.44987330954 5613),(1.56608636562 5803),,,,,(6.25819878387 6548),(6.78206636274 6698),,
Point0,H3,,,(5.6635069134 362),,(4.02755092419 639),,(5.0647892135 904),(4.87651384928 1034),(6.47624859353 1169),(4.25239299742 1311),(4.64002307493 1447),(3.58416706393 1585),(4.07512226072 1728),,(5.23434356735 1988),,(3.60895627835 2260),(5.20496152948 2393),,,,(4.67244067821 2912),,(6.37695108871 3187),(5.73481817884 3331),,,(8.19997370991 3794),,(8.45792654287 4112),(9.10444795534 4274),(8.00886752835 4429),,,(9.54101545961 4895),(8.6011541558 5050),,(6.52110395729 5326),,(5.57028748242 5621),(1.69913287108 5813),,,,,(6.43011389892 6557),(7.23208498134 6710),,
Point0,H4,(2.1692094641 107),(2.45528398562 240),(2.32986877577 402),,(4.4408920985e-15 672),(1.04141069357 803),(1.53308816469 931),(0.388786881874 1066),,(1.40491815186 1344),,,(1.98018128682 1750),(0.721378859247 1879),(1.71236302112 2019),(1.48272135633 2148),(1.10532604665 2287),,,,,(1.23316119359 2949),(0.786511491206 3082),(2.01315824728 3233),(3.09576883467 3376),(1.54166319552 3522),(1.8434729549 3678),(3.61442623077 3839),(2.92886708753 4003),(1.77077419249 4162),(3.63542684019 4325),,(1.70288260478 4624),(3.36939178854 4786),,(2.65575092195 5092),,(2.51542117822 5363),,(2.30268906176 5663),(1.61077615962 5822),,,(6.68955314785 6242),(2.39501674249 6447),(2.75999406124 6588),(3.40287565373 6752),,
Point0,H5,(3.06365783824 125),(3.71025804198 265),(2.45298784777 410),,(0.668322380726 690),(1.55927038579 815),(2.69047922973 946),(1.52555502653 1085),,(2.14691181505 1359),,,(2.05064294075 1757),(1.01714156596 1891),(2.08394523578 2030),(1.73933031938 2161),(2.28598000442 2303),,,,,(1.26321039447 2954),(0.84584725429 3091),(2.10924286593 3242),(3.46043036544 3388),(1.64372881777 3534),(2.27726305283 3691),(4.00412884561 3851),(2.97499815583 4009),(2.71835780424 4176),(3.65158687805 4329),,(2.37137140526 4639),(3.45638952496 4794),,(2.712512501 5098),,(2.73706623438 5372),,(2.93124016573 5677),(2.55931601416 5839),,,(7.43889904824 6258),(3.16094018121 6461),(2.89501088468 6596),(3.66577185007 6763),,
Point0,H6,(4.88498130835e-15 147),(4.4408920985e-16 288),(-2.6645352591e-15 430),(-0.000780527114033 564),(4.4408920985e-15 672),(-1.7763568394e-15 831),(-7.1054273576e-15 966),(1.7763568394e-15 1101),(1.15463194561e-14 1237),(1.15463194561e-14 1376),(-5.77315972805e-15 1506),(9.32587340685e-15 1640),(5.3290705182e-15 1775),(-8.881784197e-16 1908),(-1.06581410364e-14 2048),(-0.000569056700501 2184),(-0.00594546051554 2322),(7.9936057773e-15 2450),(8.881784197e-15 2583),(1.15463194561e-14 2716),(7.9936057773e-15 2844),(2.6645352591e-15 2973),(1.59872115546e-14 3111),(-0.00196851868127 3261),(-0.0010275279637 3409),(-8.881784197e-16 3564),(-8.881784197e-16 3716),(7.1054273576e-15 3873),(4.4408920985e-15 4033),(-1.7763568394e-15 4194),(-4.4408920985e-15 4353),(-8.881784197e-16 4510),(-6.2172489379e-15 4662),(-9.7699626167e-15 4816),(-1.24344978758e-14 4973),(2.6645352591e-15 5118),(-0.00284197518269 5253),(6.2172489379e-15 5394),(0.0 5547),(-8.881784197e-16 5696),(-0.00421138985488 5856),(-7.1054273576e-15 6015),(-7.1054273576e-15 6175),(-8.881784197e-15 6334),(-5.3290705182e-15 6480),(-4.4408920985e-15 6633),(-8.881784197e-15 6784),(-1.06973277165 6929),
Point1,H1,(14.8394086085 29),(13.5456797029 179),(13.9582439999 320),(15.1564272422 459),(14.323334969 596),(13.1048053484 728),(14.8975419852 860),(13.3934157519 996),(14.3922076098 1130),(13.2609728091 1271),(14.3143640408 1407),(12.4228897093 1539),(13.2354999017 1672),(14.4388370444 1805),(14.5827303796 1943),(13.6302548701 2078),(13.4780673082 2215),(13.5664369366 2354),(14.1500358519 2486),(15.7013588244 2617),(14.6322597708 2748),(14.0746733451 2875),(14.7860342803 3004),(16.2988893193 3146),(15.4478030722 3291),(16.3961248168 3441),(17.2435255171 3595),(16.6553201771 3752),(20.0174918325 3910),(17.4564703745 4069),(17.8388224031 4231),(16.1183318763 4387),(16.6880016962 4539),(17.9670083984 4697),(19.3182433933 4853),(19.1592858424 5003),(17.5599407016 5149),(16.4112872977 5288),(19.0526425543 5431),(17.400056434 5577),(16.1868749073 5728),(18.4239786413 5890),(16.9619903428 6047),(16.1617653937 6206),(18.0196088529 6365),(15.8382791588 6514),(16.7735902836 6664),(16.1868633441 6814),(13.8038508107 6958),
Point1,H2,(5.5946357093 68),(4.14629680324 212),(4.55517815613 349),,(4.50916656086 626),(5.1210024146 756),,(4.49965480344 1029),,(6.10134810196 1300),(5.92822316641 1438),(4.00818094698 1569),(5.36358454177 1704),(6.01956938659 1842),(5.92480219143 1972),(6.17883925157 2111),(4.97027163538 2243),(6.12756952198 2381),,,,(5.96469984416 2906),(6.15665406797 3039),(7.20360243972 3177),(7.19458250888 3325),(7.06312829919 3480),,(8.21754663093 3782),(10.1857511995 3944),(9.69603372033 4102),(9.70217079892 4262),(8.79510988462 4422),,(9.89603516373 4732),(9.93412491907 4888),,(7.64436983294 5185),(6.98818985599 5320),,(7.47001892973 5612),(3.09978896198 5806),,(9.73229968698 6084),,,(6.97676866677 6548),(7.84836020824 6702),(7.5096940294 6845),,
Point1,H3,(5.65460400456 74),(4.20741044851 219),(5.75342621061 364),,(5.51083223245 640),(6.00428461212 772),,(4.67742348453 1038),,(6.40059479539 1310),(6.23931384488 1448),(4.79385056235 1584),(5.40598537603 1713),(6.10480172396 1848),(7.38119874513 1986),(6.48531066597 2121),(6.07209264474 2260),(6.87111897079 2393),,,,(6.13111555243 2914),(6.16851511317 3043),(7.70576770366 3188),(7.44647226941 3335),(7.07832018985 3484),,(9.16692260293 3796),(10.3090705143 3952),(9.89605724917 4112),(10.2732595138 4275),(8.97248993158 4432),,(10.3968266595 4746),(10.0150547031 4895),,(7.71115432523 5191),(7.31558142978 5331),,(7.83584373036 5623),(3.17592535234 5813),,(9.81712130611 6091),,,(7.83170654765 6562),(7.89551459808 6708),(8.32992570491 6858),,
Point1,H4,(1.73702260812 109),(1.64833400231 254),(1.72645087575 403),(2.31108285105 536),,(1.75765216927 803),(2.06246428907 933),(1.54678384065 1070),,(1.81314906647 1342),(2.29040428894 1477),,(1.50322289097 1747),(1.30131886267 1878),(2.02450022304 2013),(2.22961732417 2152),(2.25609719795 2288),,,(1.73701282243 2693),,(1.54852031924 2947),,(2.13423799821 3234),(3.79272044666 3377),(1.89413155097 3521),(2.45926827245 3679),(4.12858084651 3844),(3.31781671222 4005),(2.71081479474 4163),(4.01104091722 4323),(4.53239853827 4464),(1.96781616997 4626),(3.66517460486 4786),,,,(2.53587346708 5362),(3.39295468266 5506),(3.45025886752 5665),(2.96489905079 5824),,(2.77106953591 6147),(8.73107890485 6243),(2.50995209554 6449),(2.8537002157 6591),(3.91681065142 6754),(2.85375558045 6899),,
