Cycle,0.679489795918
Average Width,4.47196094253
Width,,4.81636419771,4.30629506598,4.729420394,3.69116211881,4.35320115341,5.93311448953,4.15125902999,3.97758342525,4.02063209534,4.35786061135,4.47036932486,5.10162957625,4.67949398667,4.18113170114,4.16541964179,4.4125336223,4.87255088917,4.8363141741,4.01910814039,4.69220268433,4.8237739564,4.47887511585,4.28432958501,4.75384309618,4.16081908865,4.88201415119,4.25391774738,4.46291497505,4.663977885,4.424662425,4.73297332482,4.72406715732,4.93456847841,4.47017664082,4.61715514793,4.24611485319,4.44211209031,4.34845773608,4.6889147002,4.68076701554,4.48987972111,4.16180727298,4.39988401956,4.596526909,4.66553975093,4.15460567204,4.04890504338,4.10605443944,4.13506825036,3.99769455514
Point0,H1,(7.74347490767 26),(6.13655552624 136),(8.95083610875 250),(7.44404761393 371),(7.50652058931 504),(8.01659430758 632),(7.23801109639 759),(8.13680646647 888),(7.84380022846 1021),(8.27862253873 1158),(9.54691047798 1286),(9.17378017602 1405),(9.2511804538 1529),(9.41681534254 1658),(9.26113099497 1781),(9.44143955683 1903),(9.46117920608 2037),(10.1627802008 2183),(8.81914724465 2329),(9.56410119149 2459),(11.6917940612 2635),(10.0063116712 2799),(9.99096914566 2947),(10.1657078013 3083),(9.5946518366 3220),(9.06357209348 3367),(9.71510779024 3513),(9.82841281553 3652),(9.72118121797 3799),(10.0446763243 3949),(9.98511006489 4102),(9.67540167286 4255),(9.94738514217 4405),(11.1801279155 4551),(9.40397734188 4694),(8.75573424469 4826),(8.19782616505 4955),(8.59228321763 5087),(9.31346458501 5227),(9.28414044502 5371),(8.44836142514 5510),(8.16830435943 5653),(8.06326735979 5801),(9.72264041479 5944),(9.42665422651 6079),(9.46270233369 6220),(8.96147283798 6367),(8.87525485136 6511),(9.59745405712 6651),(8.45750754587 6795),
Point0,H2,(1.97178863544 57),(1.51088944501 161),(2.83390709238 281),(2.06868145815 397),(1.73382160471 529),(2.20688898987 656),(2.03067027336 784),(2.17048862978 917),(2.94811912571 1050),(1.49635678495 1183),(3.7468441107 1313),,(2.19761931669 1557),,(2.65627818378 1807),(3.33190660264 1936),(2.87185373691 2064),(3.69548727758 2208),(1.93811526114 2354),,(3.51436124111 2663),(2.15807791301 2831),(3.53198848382 2978),(4.5742276391 3108),(2.76163605373 3246),(3.08470820125 3394),,(3.13568847427 3680),,(3.41180271668 3981),(2.65491046729 4128),(3.50751230848 4286),(3.61072490623 4430),(4.05171081209 4576),(3.02455358509 4720),,,(3.99621775284 5121),(3.26303512513 5264),(3.89643971128 5403),(3.00379711034 5536),(2.98013576367 5682),,(3.43398279311 5972),(3.73958186513 6109),(3.54301072848 6255),(2.71499181156 6398),(4.12842882477 6546),,
Point0,H3,(2.6852228583 74),(2.83251120242 184),(3.15509179147 294),(3.9701743477 416),(3.203617903 553),(2.79825456727 669),(3.09226794652 803),(3.24233539096 940),(3.50144102015 1066),(2.6253760225 1201),(4.81808370973 1334),,(3.49822093456 1584),,(4.10583087137 1829),(4.32549306451 1953),(3.59541389771 2079),(5.20370066393 2229),(3.28609008007 2384),,(4.53533385154 2684),(3.89268368275 2851),(5.24768703465 2998),(5.34819206552 3132),(4.57973635699 3267),(3.68272744756 3418),,(4.49243396171 3701),,(4.57192148307 3999),(3.46438724105 4145),(4.75056483079 4304),(4.90464002886 4446),(4.45008838269 4587),(4.30932850201 4741),,,(4.18058141617 5131),(3.96013609248 5281),(4.31494831066 5422),(4.07851778535 5557),(3.55268923631 5700),,(4.58811520684 5996),(5.11400213879 6128),(4.24226159169 6272),(3.8648883801 6418),(4.51538694484 6559),,
Point0,H4,,,,(-0.019350271934 456),(1.15463194561e-14 584),,,(1.11669361693 967),(1.6434349257 1093),,,(3.74661288941 1442),(0.737778410266 1611),(2.38791721647 1688),,(1.28747960398 1979),(0.551216276508 2126),,(1.03019898562 2410),,(0.516046160645 2737),(0.942410097547 2885),,,,(-8.70975244993e-06 3459),(3.35180757191 3536),(1.81421584583 3736),,(1.15016005289 4039),(0.772714980867 4200),(0.901617386809 4346),(1.77775496992 4489),(3.8819748239 4602),,(2.74147847379 4854),(2.05447583471 4989),(0.310211904963 5176),(0.813922793198 5320),,,(0.341846754032 5736),(2.805856096 5828),(1.30681881672 6024),,(1.17637089535 6312),(0.53537417315 6459),(1.36414297544 6603),,
Point0,H5,,,,(0.0477547151342 467),(1.2456234473 600),,,(1.58641969561 979),(1.67136715191 1099),,,(4.5899840243 1460),(0.916383226481 1619),(3.16757239064 1712),,(1.4225601327 1987),(0.551322432451 2127),,(1.17530656367 2418),,(1.78575513998 2756),(1.87482217046 2900),,,,(0.355120132078 3477),(4.58509279999 3567),(1.87635317846 3742),,(1.63422325132 4051),(0.93518802807 4210),(0.9715577027 4353),(1.99694030577 4498),(3.91986597428 4608),,(3.59333723082 4882),(3.21011180816 5013),(0.948768012335 5189),(1.08397838666 5331),,,(0.748019291583 5750),(3.75467565657 5854),(1.79149429422 6035),,(1.50189843491 6323),(0.710590119855 6468),(1.39425587876 6608),,
Point0,H6,(8.881784197e-16 108),(7.9936057773e-15 223),(1.7763568394e-15 341),(-0.019350271934 456),(1.15463194561e-14 584),(1.1990408666e-14 728),(3.10862446895e-15 854),(9.7699626167e-15 995),(7.9936057773e-15 1125),(-0.0141262205161 1248),(-1.7763568394e-15 1380),(1.7763568394e-15 1502),(-8.881784197e-16 1633),(7.1054273576e-15 1749),(-4.88498130835e-15 1876),(-6.66133814775e-15 2005),(2.6645352591e-15 2146),(2.6645352591e-15 2302),(2.6645352591e-15 2433),(8.881784197e-16 2610),(-2.22044604925e-15 2772),(-0.000522534110396 2916),(-4.4408920985e-15 3055),(-6.2172489379e-15 3188),(-7.1054273576e-15 3331),(-8.70975244993e-06 3459),(4.4408920985e-16 3618),(-4.4408920985e-15 3766),(0.0 3923),(1.7763568394e-15 4069),(-2.6645352591e-15 4225),(-1.33226762955e-15 4370),(-3.10862446895e-15 4518),(3.5527136788e-15 4660),(-9.92432506259e-05 4797),(5.3290705182e-15 4927),(1.11022302463e-14 5058),(1.50990331349e-14 5201),(6.66133814775e-15 5345),(-5.0977181314e-05 5477),(4.88498130835e-15 5620),(3.5527136788e-15 5768),(-0.00251978791905 5905),(0.0 6052),(3.10862446895e-15 6192),(5.77315972805e-15 6339),(0.0 6481),(-3.10862446895e-15 6625),(-2.22044604925e-15 6769),
Point1,H1,(9.90450357638 26),(8.80296752237 136),(11.1669620457 249),(10.8315402092 370),(10.5527182224 503),(10.310632556 633),(10.5962282926 759),(11.4854094611 887),(11.6908919079 1020),(11.2154127766 1158),(13.2291746244 1284),(11.8865427882 1405),(11.7126745674 1529),(12.1058887792 1658),(11.7670242862 1781),(11.7707832598 1902),(11.507865581 2037),(12.0894382146 2183),(10.9309379072 2329),(11.7098621809 2459),(13.4965764121 2635),(12.6047928348 2799),(12.6995887255 2946),(12.4105889986 3083),(11.6644209913 3220),(10.9199157056 3366),(11.4769102487 3512),(10.8350893091 3652),(11.2724067552 3799),(12.0427026124 3950),(12.0576555772 4101),(11.6666038011 4254),(11.6230342278 4405),(13.0682719536 4551),(11.1756819798 4694),(11.867746468 4825),(10.1638712735 4954),(10.9852270337 5086),(11.6244210269 5227),(11.625700303 5371),(9.89251763505 5510),(10.4968508651 5653),(10.9964260016 5801),(12.0824804161 5944),(11.4820523303 6078),(12.4591853141 6220),(11.9205585255 6367),(12.0036533389 6511),(11.6476607967 6651),(11.3952697475 6794),
Point1,H2,,(1.87089930548 163),(4.76451062756 276),(3.48916210391 396),(2.68917390231 529),(2.32329346194 659),(3.34995141101 785),(3.3432031511 915),(3.48804829357 1053),(2.3940167638 1182),(4.62273667009 1311),,,(3.5659639507 1687),(3.26733537791 1810),,(3.44032864492 2063),(4.84209084285 2207),(3.21127789605 2354),,(3.81496305303 2666),(3.81178977742 2833),,(5.49609376132 3109),(3.48045548701 3247),(4.09835911128 3395),,(3.64383186258 3680),(3.39790786571 3823),(4.50970882203 3980),(3.6448704296 4129),(4.46756833297 4288),(4.65767449467 4431),(4.94702254065 4578),(3.6919078172 4719),,(3.4150530117 4980),(5.55617135784 5119),(4.83855756445 5266),,(4.10584737326 5536),(3.59767492915 5680),(4.68826225868 5826),(4.93026906925 5971),(4.63634430729 6111),(5.709457872 6256),(3.99960836599 6398),(5.88685853659 6544),,
Point1,H3,,(3.36744186641 185),(5.24410514118 291),(5.90218258251 415),(4.47483953334 549),(3.22432360941 678),(4.7764100845 806),(4.49869689095 940),(4.93584673062 1073),(5.39297959083 1204),(6.69869493711 1332),,,(4.97757849395 1705),(5.4348214804 1832),,(5.07573752579 2083),(6.89958946447 2229),(4.05561332934 2385),,(5.22756285708 2687),(6.14175976144 2853),,(6.63717932434 3132),(6.05220532491 3268),(4.79089987801 3416),,(4.95678529172 3700),(5.68663252279 3850),(5.90500419819 3996),(4.80718319946 4148),(5.82382134554 4307),(6.10738201219 4450),(5.19119474752 4587),(5.64781930873 4742),,(3.55498461384 4990),(6.11902382291 5133),(5.22905675809 5279),,(5.4817449949 5555),(4.79999231543 5699),(5.61722421824 5851),(5.74515939282 5992),(6.3681343095 6131),(6.42508136601 6272),(5.99304850421 6418),(6.80998898128 6559),,
Point1,H4,(2.59369574907 59),,,,,,,(0.831711145927 968),(1.52955787581 1098),,,(4.41054679501 1438),(2.86540336704 1556),,,(4.32966176953 1938),(0.494243613677 2121),,(0.702317503358 2409),,(-0.00267505181361 2726),(1.61244051123 2885),(4.64059461866 2979),,(0.96732986757 3305),,(3.57799557421 3537),,(1.23658721379 3896),(0.925553697891 4038),(0.792503210678 4199),(0.92198273028 4347),(1.89204694756 4490),,,,(3.54951722487 4993),(0.4223701057 5178),(1.18734739662 5322),(4.63202113887 5404),(1.68381665469 5593),,,(1.66019800027 6025),(1.38394195594 6175),(1.73976743447 6311),(1.30278665112 6458),(1.72517661175 6601),,
