Cycle,0.689576923077
Average Width,6.77983140107
Width,,6.7340938672,7.09317557002,6.45853730162,6.02983914732,7.15302178072,6.31611057538,6.65044036826,6.39880041274,6.0990552735,7.68994571811,7.19207210506,6.79413225755,6.81328135074,6.57424154351,6.57852928228,6.51933291818,6.96842825669,6.60038572314,6.95688030164,6.06288097961,7.14721641021,7.5700525379,7.23255118843,7.08886831965,7.07851395445,7.33041178943,7.37051547228
Point0,H1,(12.9739666523 30),(14.4190235821 174),(14.1756017931 317),(11.002597591 462),(13.6078287309 602),(12.1284795714 743),(13.229617088 885),(11.715953829 1033),(11.4944250001 1184),(14.3580786176 1336),(12.1634622372 1479),(12.9177751833 1622),(13.7275787887 1770),(12.6244844859 1916),(12.9175497942 2062),(11.3706772697 2205),(11.2976127591 2347),(11.3215748332 2482),(14.3101756876 2624),(12.4688618653 2767),(12.5071634742 2915),(13.1352791452 3056),(13.6116989359 3197),(12.8162699273 3338),(13.2953579098 3481),(12.2419060087 3621),(11.9464570342 3758),
Point0,H2,(5.02006393444 69),,,,,,(4.32205725764 921),(4.35791374386 1068),(2.00912472851 1252),(7.89161170428 1364),(5.43268038706 1513),,,(8.3305412695 1942),,,,,,,(3.71525824755 2956),(5.08962896854 3095),,,(6.05038430718 3509),,
Point0,H3,(5.07514537803 76),,,,,,(5.38222387995 935),(4.69439769223 1082),(2.00933260216 1253),(7.99270626162 1371),(5.76148912942 1525),,,(8.36123956751 1947),,,,,,,(4.00263281223 2965),(5.38144652637 3106),,,(6.53829119717 3521),,
Point0,H4,,(1.40204626095 251),(1.04215899707 395),(1.07224852547 538),(5.18443406325 633),(1.25285226547 825),(1.16593746071 964),(1.10342149222 1114),(1.18400696042 1272),(2.88832861073 1419),(1.75949198774 1560),(0.52291543759 1709),(1.02456834873 1848),,,(1.34289940445 2280),(0.428795197355 2424),(4.23123252571 2527),(5.69186365405 2663),(1.48736950273 2853),(0.530816804043 2992),(0.740859235293 3136),,(1.88191723037 3419),(1.88141074602 3560),,
Point0,H5,,(1.56284605914 261),(1.75029890766 409),(1.36578221922 549),(5.97057784861 650),(1.54325662474 836),(2.13605570358 980),(1.96765265218 1131),(2.30071172728 1287),(3.49829763852 1430),(2.5914461616 1574),(0.669839591144 1718),(1.32496584286 1859),,,(1.82875518872 2293),(1.16660349633 2439),(4.29090547 2533),(5.82604426425 2671),(2.73355456384 2870),(1.43381718131 3011),(0.818069276457 3143),,(1.902825992 3424),(2.50851529322 3572),,
Point0,H6,(4.4408920985e-15 137),(-0.00140327450668 281),(-0.00181200872122 429),(1.7763568394e-15 567),(6.2172489379e-15 710),(-1.7763568394e-15 853),(-5.3290705182e-15 999),(4.4408920985e-16 1153),(-2.6645352591e-15 1303),(-0.00809019231659 1449),(3.5527136788e-15 1591),(1.7763568394e-15 1732),(-0.00362212375172 1879),(5.3290705182e-15 2031),(2.6645352591e-15 2177),(8.881784197e-16 2313),(2.6645352591e-15 2453),(-5.3290705182e-15 2591),(1.7763568394e-15 2739),(8.881784197e-16 2887),(8.881784197e-16 3027),(-0.00900678307137 3158),(-0.00984373230263 3301),(-3.5527136788e-15 3446),(-4.4408920985e-15 3590),(-0.0029826070847 3725),
Point1,H1,(17.2249881809 30),(18.4357295368 173),(18.8854356983 316),(15.1087653652 461),(17.7954308374 603),(16.7475322151 743),(17.9278299183 885),(16.6517716299 1034),(16.2582976298 1184),(18.5389286489 1336),(16.4588521732 1480),(17.4191006483 1621),(18.5132400173 1770),(17.4279529057 1916),(17.1648031849 2062),(15.4910652825 2205),(15.2044168411 2347),(15.4833558621 2482),(19.196998476 2624),(16.8664050381 2767),(16.4710702504 2914),(17.9299895395 3056),(19.4302390766 3196),(17.6921390608 3337),(17.8978494785 3480),(16.3107815973 3620),(16.8018645839 3758),
Point1,H2,,,,,(6.81947063192 632),,(6.36915294941 921),(6.29189838133 1070),,(9.70467681383 1365),(7.89258293069 1511),,,,,,,,(7.68881441004 2665),,(5.66979062956 2954),,,,(7.74984013718 3509),,
Point1,H3,,,,,(7.55167503435 648),,(6.84246815645 932),(6.5989893006 1082),,(9.81318288596 1371),(8.26862028999 1522),,,,,,,,(7.73542833658 2670),,(5.9209179286 2963),,,,(8.47605602637 3521),,
Point1,H4,,(2.64869328596 249),(1.4508024231 397),(0.879362145823 537),(2.96582710183 686),(0.960491379301 826),(1.73473446034 965),(1.76716497586 1115),(0.785762100349 1270),(3.19824669003 1419),(2.63002941115 1561),(0.932013110665 1706),(1.4074369315 1847),,,(1.46330514015 2280),(0.189018733187 2424),(1.13607911782 2564),(2.55230538471 2713),(1.25254229611 2855),(1.66382192854 2998),(7.31668270753 3094),,(2.52104365252 3418),(1.84846483795 3560),,
Point1,H5,,(2.83282174746 258),(1.61213284137 407),(1.46010643693 550),(2.96617717367 687),(1.66477106265 838),(2.49630788614 980),(2.22539207857 1131),(2.51600988792 1287),(3.78346489626 1429),(3.74729410646 1574),(1.35192607617 1718),(1.68620599796 1857),,,(2.16836906498 2294),(1.49931766945 2440),(1.26694547311 2573),(2.59198143364 2719),(3.46876882446 2871),(2.01779873045 3010),(7.5360369281 3104),,(2.68487131539 3426),(3.28755263345 3574),,
Point1,H6,(3.5527136788e-15 137),(-0.00581676059249 281),(3.5527136788e-15 430),(-9.7699626167e-15 567),(-4.4408920985e-15 710),(-1.15463194561e-14 853),(-1.68753899743e-14 999),(-1.59872115546e-14 1154),(6.2172489379e-15 1303),(0.0 1448),(-1.06581410364e-14 1591),(-8.881784197e-16 1733),(0.0 1878),(0.0 2031),(8.881784197e-16 2176),(3.5527136788e-15 2313),(1.7763568394e-15 2453),(2.6645352591e-15 2592),(8.881784197e-16 2740),(0.0 2887),(-1.15463194561e-14 3027),(-1.06581410364e-14 3159),(-0.0138652143347 3301),(0.0 3446),(5.3290705182e-15 3591),(-0.0062849992496 3726),
Point2,H1,(19.9994642713 31),(21.4267470534 173),(20.9829312256 317),(19.0448840782 462),(18.9352430446 605),(19.7651924366 745),(20.2546185491 885),(19.0557710624 1034),(19.3725053275 1184),(20.1085885852 1337),(17.4210694407 1482),(19.9597779908 1624),(20.3078189461 1771),(18.6211149274 1918),(19.4902620699 2063),(17.2325092084 2207),(16.9398936683 2348),(17.932129116 2484),(20.9326108252 2626),(20.5215572796 2769),(16.8208235624 2916),(19.2255758072 3057),(21.9958740885 3197),(18.7689300015 3337),(19.571396247 3480),(17.6412427703 3621),(17.3097018649 3760),
Point2,H2,,,,(5.71220699817 499),,,,,(2.59954158139 1250),,,(8.32272685761 1655),,,,(6.24533046778 2241),,,(9.30315961352 2667),,(5.2260667929 2953),,(9.70871051655 3231),,(8.29358557194 3515),,
Point2,H3,,,,(5.75576958388 505),,,,,(2.70749988267 1257),,,(8.46429275318 1661),,,,(6.45522472974 2252),,,(9.31353263524 2670),,(5.37404343925 2961),,(9.90856999185 3241),,(8.31424579736 3519),,
Point2,H4,(1.4054462381 108),(2.54577342967 251),(4.91975105581 389),,,(1.18049663407 827),(2.28906431521 969),,(1.45906813181 1276),(2.40388181596 1418),(3.26903805213 1562),(-0.215500431951 1699),(1.27130438529 1850),,,(2.20931468493 2283),(0.529339240691 2423),(1.20868536789 2577),(2.67962028302 2717),(-0.00514758003211 2858),,,(2.39021486635 3277),(2.17180195977 3421),(2.75831628277 3563),,
Point2,H5,(1.53618663177 116),(2.73923017566 260),(4.95962312527 395),,,(1.90824304469 839),(2.91459341633 981),,(1.76803209863 1286),(2.74903506249 1428),(3.43390120598 1570),(3.12796282811 1720),(1.71602237776 1862),,,(2.55735474135 2293),(2.46207515968 2440),(1.2130526729 2580),(2.72175136862 2722),(1.2037731857 2872),,,(2.79502592453 3287),(2.29548582799 3429),(3.21184137228 3574),,
