Cycle,0.964185185185
Average Width,5.84843759129
Width,,6.01897014346,5.88548975059,5.73364623239,5.94522948001,5.83037286373,5.82187159006,6.15003884577,5.98343086917,5.95851073682,5.99593917082,5.85243915608,5.98767697208,5.95148138417,5.88093447432,6.14689969031,5.68913258198,5.93239692527,5.77900114172,5.73489892451,5.81900508004,5.93338958724,5.92008271486,5.79100274102,5.81013038664,5.85137055389,5.76834352879,5.09816841237,5.56707692624
Point0,H1,(10.5018375555 168),(8.36215899485 388),(8.80731664568 577),(8.6706996895 786),(7.38443595425 983),(7.25775835404 1188),(8.02499002776 1396),(8.94746722094 1608),(7.08531716828 1791),(6.74807034572 2003),(7.94592314013 2194),(6.89132723355 2416),(9.14833932438 2604),(8.8939784362 2802),(7.96231797824 3008),(9.20006001241 3222),(8.74156498587 3432),(7.71498879754 3626),(8.46638068676 3830),(8.97895436436 4021),(8.59435160717 4228),(9.27072638798 4416),(10.3393869173 4622),(9.78913020677 4822),(8.01477691038 5025),(8.22533615741 5237),(2.0708304831 5338),(4.86256576643 5429),
Point0,H2,,(2.1023747114 417),,,(-7.9936057773e-15 1084),,,,(5.54153715239 1808),(1.05560877507 2078),,(2.92383513464 2449),,,,(3.09232768097 3264),(2.98598685745 3468),,,(4.04042533285 4060),(4.51327172666 4257),(3.85627903369 4464),(6.8233707359 4665),(1.79746003925 4861),,,,,
Point0,H3,,(2.54554376352 428),,,(0.72675459301 1102),,,,(5.63319865918 1815),(1.60189281118 2098),,(3.44963596504 2466),,,,(3.18319582454 3273),(3.41901590746 3483),,,(4.61906105958 4074),(4.67229717001 4266),(3.92908051171 4471),(6.82356017265 4666),(3.35954236229 4877),,,,,
Point0,H4,,(0.70257897535 473),,,(0.534349587395 1115),(0.382829763093 1320),,,(-0.00225325240972 1883),(0.72068613542 2121),,(-4.4408920985e-16 2531),,,,,(1.71802321222 3516),,,(0.504937012325 4149),(1.95890006454 4304),(2.08115568378 4499),(-0.00348795573998 4746),(-9.7699626167e-15 4911),,,,,
Point0,H5,,(1.06830694797 490),,,(0.733239007765 1130),(0.620473878646 1334),,,(1.52561677713 1932),(1.35216151762 2141),,(1.4246290659 2557),,,,,(1.99902305825 3535),,,(1.0222803629 4166),(2.09867771238 4317),(2.18004613884 4510),(2.55471978702 4766),(1.75933179035 4938),,,,,
Point0,H6,(-0.0293071366768 69),(-0.00291007693205 132),(-0.00385416324027 342),(4.88498130835e-15 543),(-8.881784197e-16 742),(-0.00246484716412 950),(-7.9936057773e-15 1084),(4.4408920985e-15 1153),(-1.7763568394e-15 1351),(7.1054273576e-15 1558),(-3.5527136788e-15 1766),(-0.00225325240972 1883),(3.99680288865e-15 1961),(3.5527136788e-15 2163),(-4.4408920985e-15 2345),(-4.4408920985e-16 2531),(-3.5527136788e-15 2772),(-6.2172489379e-15 2956),(-4.4408920985e-16 3176),(4.88498130835e-15 3379),(4.88498130835e-15 3573),(4.4408920985e-15 3782),(2.6645352591e-15 3987),(-3.10862446895e-15 4183),(1.33226762955e-15 4371),(-4.88498130835e-15 4574),(-0.00348795573998 4746),(-9.7699626167e-15 4911),(-0.00112827058931 4979),(4.4408920985e-15 5185),(-0.0209690932944 5303),(-0.00113623593762 5382),
Point1,H1,(20.2013733028 38),(20.7514144886 249),(19.254781067 442),(20.3924746991 649),(20.8215726276 858),(19.1524461578 1055),(18.474293552 1259),(19.5351435239 1465),(20.1028646835 1659),(18.903484334 1867),(18.4463298398 2074),(18.4671795993 2267),(16.8933042735 2475),(18.8244142001 2679),(18.2306074413 2879),(18.2309689818 3081),(20.0484159842 3291),(17.9982572688 3501),(17.478413919 3690),(18.5986067115 3898),(17.81448567 4091),(17.9463778386 4297),(18.5358136764 4490),(19.3776445598 4695),(18.3709583232 4899),(15.7828516757 5096),(15.586838304 5291),(15.4957552546 5499),
Point1,H2,,(10.1789127279 280),(18.3100172641 453),,(11.1618479511 891),,(8.92970137908 1306),,,,,(8.52324871315 2313),(6.90052115924 2521),(3.57930975987 2784),,(4.86529155033 3163),,,,,(8.33420376939 4134),,(8.19724208611 4537),,,,(15.0884009185 5302),,
Point1,H3,,(10.7658964405 290),(18.4780839772 460),,(11.2002607695 895),,(8.93500944588 1309),,,,,(8.94524241096 2323),(7.23255723501 2530),(4.26390835772 2799),,(4.90533542059 3168),,,,,(9.24422235003 4146),,(8.27619138137 4543),,,,(15.1209231629 5306),,
Point1,H4,,(1.62468104643 386),(7.70399253796 488),(2.18731915853 783),(1.76436443434 990),(1.1694068209 1203),(1.59928468186 1393),(2.68255834567 1602),,(2.75003468185 1967),(4.02556451403 2153),(0.241111329473 2421),(-0.214552400733 2608),(1.15247721045 2823),,(2.46255002542 3220),,,,(3.97958761359 3978),(1.97169945483 4225),,(4.75956440424 4571),(1.24460597276 4821),,,(1.52003952827 5383),,
