Cycle,0.748968421053
Average Width,5.36952810448
Width,,5.47768146751,5.85745845604,5.51710665833,5.57112774646,5.31729157675,5.40422433935,5.24880115024,5.38882287495,5.23292579147,5.36042009752,5.33041647252,5.41817859675,5.43764824914,5.20640952834,5.74036752531,5.32976251027,5.60103988199,5.2822513876,4.88209015622,5.40568515944
Point0,H1,(9.55557661682 34),(10.4752312902 190),(11.1021260506 336),(12.0160731482 493),(11.003392565 636),(10.6905932845 790),(9.71522150933 941),(11.2520466154 1086),(10.4603731444 1256),(10.4827036877 1420),(10.6382857255 1579),(9.757839401 1755),(9.7415896739 1919),(9.80341222536 2088),(11.018013618 2266),(8.64078158241 2427),(10.0642856839 2600),(9.34296872039 2762),(5.41007850909 2919),(7.47179626778 3064),
Point0,H2,(2.29074295215 73),(3.28042924842 227),(5.13793733369 377),,,(5.31278524361 824),,,(6.2172489379e-15 1335),,,,(3.10862446895e-15 1990),,(6.03127935613 2296),,(6.94426151822 2623),(4.7581401137 2806),(0.838251197839 2947),,
Point0,H3,(2.72317526611 84),(3.69643113147 240),(5.42949048805 388),,,(5.56014175667 835),,,(0.622758573183 1350),,,,(1.33463318048 2006),,(6.65957415873 2312),,(6.95153625249 2626),(4.82767067163 2813),(3.70363816618 2977),,
Point0,H4,(0.283651518823 111),(-0.077813158679 275),(2.96818143896 423),,,(1.44287151649 870),(5.3290705182e-15 1030),(1.20300377746 1188),(0.0040337591821 1364),,,,(0.549818646259 2020),(2.20442918998 2185),(2.88446107229 2350),,,(-0.0345770551441 2875),(0.765509117342 2997),,
Point0,H5,(0.574787181941 140),(0.318796502268 290),(2.97363816589 426),,,(1.68358368855 880),(0.426584822233 1043),(1.38851889995 1198),(0.796386497678 1379),,,,(1.32158799876 2034),(2.51703671981 2196),(2.92442249927 2356),,,(-0.0291469279237 2879),(2.42632018152 3013),,
Point0,H6,(0.0 155),(-0.077813158679 275),(2.6645352591e-15 450),(-0.00235031405309 598),(7.9936057773e-15 752),(-1.7763568394e-15 897),(5.3290705182e-15 1030),(5.3290705182e-15 1216),(6.2172489379e-15 1335),(-1.7763568394e-15 1549),(0.0 1714),(-0.0140944282139 1881),(3.10862446895e-15 1990),(0.0 2051),(1.7763568394e-15 2223),(3.5527136788e-15 2399),(-0.000739179745491 2538),(8.881784197e-16 2734),(-0.198114449008 2890),(2.44249065418e-15 3032),
Point1,H1,(17.8771869436 35),(17.4788110026 188),(20.1055158348 333),(22.4059102321 490),(21.6156086287 634),(21.2694342857 790),(21.1116358875 936),(22.4290512285 1085),(21.2192075863 1256),(20.252756023 1419),(20.8913856877 1578),(18.6692531022 1751),(19.4589024377 1913),(20.7946989858 2088),(18.3181096103 2263),(17.1529794657 2428),(17.8000632547 2600),(16.6885830361 2761),(16.4280033264 2918),(15.0348126521 3065),
Point1,H2,(4.10977703078 74),(5.68331880371 226),,,,(7.57722248197 824),,,,(6.37370276209 1466),(8.3516671431 1625),,,,,,,,,
Point1,H3,(4.64681848008 84),(5.97713362019 236),,,,(8.40425925547 835),,,,(6.43256454465 1472),(8.40239583127 1630),,,,,,,,,
Point1,H4,(0.290001604992 128),(0.928628008831 276),(6.46202020296 376),,(2.69626504691 721),(1.01752162354 868),(1.96607830759 1028),(2.34663868159 1185),(0.452004294302 1361),(2.47548105382 1506),(3.01449009999 1682),,(2.66673695696 2012),(1.42943480647 2198),(1.83129684875 2370),,(3.10915680092 2685),,,
Point1,H5,(0.956758453058 143),(1.18148955242 286),(7.41780956577 387),,(2.90125233182 731),(1.53320747901 880),(2.78562102313 1039),(3.21387505884 1198),(1.40876033725 1376),(2.4917202568 1510),(3.2883960755 1692),,(2.67247636313 2015),(1.53904156247 2206),(2.10346240705 2381),,(3.12232112931 2689),,,
Point1,H6,(1.33226762955e-14 156),(2.30926389122e-14 300),(1.24344978758e-14 447),(2.48689957516e-14 594),(1.7763568394e-15 751),(5.3290705182e-15 896),(1.06581410364e-14 1054),(1.7763568394e-14 1216),(-2.6645352591e-15 1389),(5.3290705182e-15 1544),(-1.7763568394e-15 1712),(2.6645352591e-15 1881),(-1.7763568394e-15 2046),(4.4408920985e-15 2223),(-0.000462551802694 2398),(-2.6645352591e-15 2547),(-8.881784197e-16 2732),(-0.00871846480658 2889),(5.3290705182e-15 3038),
