Cycle,0.747826086957
Average Width,3.88007872752
Width,,3.41586570576,3.70975331206,3.83364844657,3.93086095268,3.82735795023,3.90593127674,3.98491661328,4.02904049371,3.84419142641,4.41610883316,4.08790190471,3.9101271581,3.95531732307,3.73933390854,3.62521813839,3.75766088589,3.98787219692,3.50620785249,3.85472211514,4.51419289902,3.68126285292,4.04156056397,4.04522704237,4.03997668448
Point0,H1,(8.44997751383 29),(10.6878587786 188),(9.36583674005 344),(10.4436297576 498),(10.4253192777 665),(11.1000143216 829),(11.0912129039 993),(10.4999114254 1158),(9.9032014734 1308),(12.1757831892 1462),(10.6696296891 1615),(10.448099754 1774),(10.1580878393 1933),(8.13182171358 2088),(9.87756562527 2239),(10.831277072 2399),(11.9521958873 2562),(9.60551965706 2731),(9.51078597399 2883),(11.5266222164 3037),(10.4013164476 3194),(12.4758933477 3343),(11.4493358682 3486),(11.9730134477 3628),
Point0,H2,,(4.93091728569 209),(3.99190132543 370),(6.08339223825 536),,,(4.2120041072 1030),,(2.9494708403 1334),(6.04342034538 1490),(4.31039959108 1657),,(3.38103819786 1958),(3.26548370551 2113),(4.28121595261 2280),(4.82972343942 2448),(4.30542445667 2604),,,,(4.56207607201 3219),(4.31323858021 3385),,,
Point0,H3,,(5.93437937673 222),(6.49174943322 395),(6.27475216921 549),,,(5.45560727746 1049),,(5.37714265578 1363),(6.67636904853 1503),(4.95590354689 1673),,(4.93958507548 1991),(5.48352267295 2139),(5.20386215146 2297),(4.88597433271 2454),(4.93510973771 2618),,,,(6.61687077532 3247),(5.21288173412 3400),,,
Point0,H4,,,(0.950166708051 442),(0.965501783303 601),,,(-0.00142513993381 1101),(5.14239833778 1188),(0.35892836578 1402),(1.5530057728 1564),(-1.33226762955e-15 1724),,(0.461820578954 2025),(0.613449470006 2185),(-5.77315972805e-15 2347),(1.08855021547 2502),(-0.00445126264399 2665),,(3.29195764722 2915),,(1.06431588287 3291),(0.610758123533 3440),(4.43564757973 3528),,
Point0,H5,,,(1.83971942722 456),(1.39243838311 614),,,(0.379163860553 1113),(7.14767568376 1210),(1.5173199267 1417),(1.71486302792 1573),(0.621938787249 1737),,(0.959307523414 2040),(1.33830366461 2200),(0.639615129325 2361),(1.91969435497 2518),(0.890445162053 2681),,(4.99860535142 2938),,(1.65288582876 3303),(0.707890153863 3447),(5.2692730939 3543),,
Point0,H6,(-0.0107277511132 1),(-1.7763568394e-15 157),(-2.6645352591e-15 311),(7.1054273576e-15 471),(8.881784197e-16 632),(-7.93592114832e-05 801),(-7.9936057773e-15 968),(-0.130511244459 1125),(-6.2172489379e-15 1274),(-3.5527136788e-15 1431),(-1.24344978758e-14 1590),(-0.0739301181591 1748),(-3.10862446895e-15 1902),(3.10862446895e-15 2055),(8.881784197e-16 2214),(-5.77315972805e-15 2347),(-8.881784197e-16 2534),(-0.302050482007 2698),(8.881784197e-16 2856),(-0.00537219840439 2979),(-6.2172489379e-15 3161),(-3.5527136788e-15 3318),(-2.6645352591e-15 3459),(-0.0201556476595 3594),
Point1,H1,(14.4319342119 29),(15.749255104 189),(13.5098018386 345),(15.4754212115 499),(14.8896798224 665),(15.7540908049 830),(15.4151829965 995),(15.1612004588 1156),(14.5355510869 1309),(14.8365967908 1464),(14.1878386542 1616),(15.2188732094 1775),(14.3267712852 1934),(14.2805235744 2088),(16.19474045 2240),(16.4949535047 2400),(14.7930416281 2562),(14.5247943532 2731),(12.5250230247 2884),(14.205481456 3038),(14.856441955 3196),(15.1876092598 3344),(14.3543122965 3487),(15.2164306992 3629),
Point1,H2,(5.08145461349 53),,(5.02143618725 370),(7.17455903762 534),(6.64124033632 691),,(5.70464796688 1027),,,(6.66000512621 1495),(5.82876231839 1651),,,(5.62313806318 2115),(7.08661041705 2283),(7.07709446758 2445),(5.94465973397 2600),(5.36334018762 2755),(3.07597249178 2917),,,(5.44952582621 3386),,
Point1,H3,(5.99005931988 66),,(8.01001601845 394),(8.36536708984 553),(8.11814239813 709),,(7.75866030819 1049),,,(7.4027106826 1517),(7.13657088076 1672),,,(8.21192916905 2137),(8.41364912129 2298),(7.80112238983 2458),(6.97260541646 2617),(7.17145276909 2771),(5.04991986151 2938),,,(6.8036560738 3401),,
Point1,H4,(5.84115759636 75),,(1.61401705274 443),(1.57123782597 602),(1.24124975578 766),,(1.11964525167 1099),(7.48605682773 1188),,(-7.9936057773e-15 1562),(-5.3290705182e-15 1724),,,(2.13815940311 2187),(1.39785205365 2348),(1.82961426842 2507),(1.34589690856 2668),(1.35492920137 2827),(-0.00407233513173 2988),,,(0.037675525246 3439),,
