Cycle,0.869624711792
Average Width,6.39290556277
Width,,6.13492835939,6.27216765953,5.79100941625,6.59566226502,5.53779523872,7.29260316548,8.43152146801,6.57020682588,3.9902800375,4.7659882808,0.0,5.44894601658,12.407199371,4.62101916564,0.0,4.91185591206,6.29330681829,6.78286389984,12.5566438061,5.51623093338,5.64129238147,0.0,4.31316299843
Point0,H1,(12.3672865736 180),(14.6607912664 384),(11.8260719149 581),(13.192537681 766),(11.3890968595 982),(11.287372635 1188),(15.156401347 1382),(15.7970334135 1569),(7.44582312002 1785),(8.0908497005 1904),(11.7295887681 1989),(9.60307744369 2186),(12.798799561 2392),(10.1787986834 2599),(17.7943001542 2793),(15.1957449978 2937),(12.8573323964 3207),(14.2355271239 3411),(15.4155634509 3607),(11.7639710598 3815),(17.6077094951 4000),(16.02443015 4214),(9.28657475061 4424),
Point0,H2,,,(0.0 607),,,(-7.1054273576e-15 1215),(-1.7763568394e-14 1434),,,,,,(7.1054273576e-15 2438),(0.285714007141 2622),(0.793761747589 2831),,(-0.00252002753485 3235),,,(7.9936057773e-15 3842),(1.17417231551 4047),,,
Point0,H3,,,(2.59789538682 623),,,(1.97991864016 1231),(7.29729412143 1504),,,,,,(8.76144428904 2515),(2.17976825149 2636),(1.96612340714 2844),,(3.68411768151 3276),,,(0.816894712584 3854),(2.31853144455 4059),,,
Point0,H4,,,(2.26126328917 632),,,(1.75404957907 1239),(7.13191678445 1513),,,,,,(7.65178649801 2551),(8.881784197e-15 2651),(-0.00450204024635 2864),,(3.21085056917 3291),,,(0.503069783025 3863),(-0.00609547862356 4075),,,
Point0,H5,,,(8.51621193738 683),,,(9.44182683275 1307),(7.96251860005 1531),,,,,,(9.35210102088 2569),(16.5016639031 2756),(0.456229469353 2877),,(8.33005548961 3332),,,(13.2918380479 3962),(12.1316277976 4129),,,
Point0,H6,(-3.5527136788e-15 234),(-0.00820007791981 417),(0.0 607),(-8.881784197e-15 841),(-1.42108547152e-14 1021),(-7.1054273576e-15 1215),(-1.7763568394e-14 1434),(-1.78765695264 1644),(-0.115847086942 1738),(-0.206043543128 1814),(5.3243922148 1930),(-0.293661103656 2044),(-0.00627527056102 2223),(7.1054273576e-15 2438),(8.881784197e-15 2651),(-0.00450204024635 2864),(-0.00531446117666 3050),(-0.00252002753485 3235),(-9.7699626167e-15 3439),(-0.00384698601213 3656),(7.9936057773e-15 3842),(-0.00609547862356 4075),(-0.0438323494572 4255),
Point1,H1,(14.5718004633 178),(16.769127698 383),(14.8992982942 577),(16.2649731121 764),(11.3985526846 919),(12.6841941513 981),(14.5020126453 1186),(16.6699467198 1381),(18.9496132442 1568),(8.43985142732 1783),(10.5888224092 1899),(13.6965982963 1987),(11.2424768434 2183),(14.5527843126 2390),(11.7533505892 2596),(18.2337606705 2790),(15.3294616856 2936),(14.4697188676 2997),(14.7078721244 3204),(16.7454271876 3409),(18.035320222 3605),(13.9689138394 3812),(19.8543527047 4000),(17.2794761386 4212),(10.0190277839 4421),
Point1,H2,,(-8.881784197e-15 414),,,(8.48202416391 938),(-0.00374469053989 1020),,,,,,,,,(0.328378633774 2620),(0.305718194005 2829),(10.7150407862 2961),(5.3290705182e-15 3049),(0.0 3233),,,(5.3290705182e-15 3840),,
Point1,H3,,(2.10029098575 429),,,(10.4081914053 956),(10.2149969095 1101),,,,,,,,,(2.53292849524 2634),(1.76152357618 2843),(10.8575054346 2969),(5.40368831199 3087),(3.69047291287 3275),,,(1.01800718199 3852),,
Point1,H4,,(1.51809077994 439),(-2.6645352591e-15 606),,,(9.99304326883 1112),,,,,,,,,(2.6645352591e-15 2650),(1.7763568394e-15 2860),,(4.71224390602 3104),(3.35103282061 3289),,,,,
Point1,H5,,(3.5630696 456),(10.247457358 684),,,(12.5727526078 1161),,,,,,,,,(17.067726793 2752),(0.905055304041 2876),,(12.3053443756 3175),(8.84720598685 3327),,,,,
Point1,H6,(0.0 206),(-8.881784197e-15 414),(-2.6645352591e-15 606),(-8.881784197e-15 812),(8.48202416391 938),(-0.00374469053989 1020),(-2.6645352591e-14 1214),(-0.00558803800951 1431),(-0.0822169647999 1642),(-0.0460726763176 1735),(-0.215356339919 1813),(-6.2172489379e-15 2014),(-0.0102574306072 2222),(1.33226762955e-14 2437),(2.6645352591e-15 2650),(1.7763568394e-15 2860),(5.3290705182e-15 3049),(0.0 3233),(-7.1054273576e-15 3438),(-0.00926739451202 3654),(5.3290705182e-15 3840),(-8.881784197e-15 4072),(-0.0125385807454 4253),
Point2,H1,(18.0127758334 177),(18.8311622738 381),(16.9433836957 575),(19.0397571859 763),(14.1007319266 918),(15.8241821323 980),(15.4951432736 1187),(17.6720677448 1381),(18.0405786434 1581),(14.5955406106 1781),(8.44144801378 1899),(14.0187785061 1985),(14.4999365714 2181),(17.0332928485 2389),(13.1858149576 2595),(19.6242161819 2790),(15.344090737 2935),(16.422312544 2997),(16.7750324809 3204),(20.1640226059 3407),(21.3140763455 3604),(15.8464437305 3811),(21.418575252 3997),(19.2154206272 4211),(11.5702387141 4420),
Point2,H2,,(-0.0156511079212 413),,(-7.1054273576e-15 812),,,,,(8.881784197e-15 1612),,,,(-6.2172489379e-15 2220),(-1.7763568394e-15 2436),(0.490953886574 2620),(0.180145012513 2830),(11.8398589881 2957),(-0.00598240729614 3050),,,(-0.0118751886056 3653),,
Point2,H3,,(2.37533823498 427),,(2.52230746805 827),,,,,(2.1559844872 1625),,,,(2.12939311556 2245),(10.8609514623 2534),(2.39840154817 2633),(0.95504816932 2842),(12.1221286303 2967),(6.07458822375 3088),,,(12.2807960467 3750),,
Point2,H4,,(1.36529360482 439),(4.4408920985e-15 605),(1.75264225185 837),,,,(-0.01438688453 1432),(0.284078671466 1639),(-1.06581410364e-14 1816),,,(2.10205150843 2253),(10.0526256757 2550),(-1.95399252334e-14 2649),(-0.000343653800559 2858),,(4.8201463014 3107),(-9.7699626167e-15 3234),,(11.5054545141 3765),,
Point2,H5,,(3.67722343871 455),(3.06802598115 624),(7.06832032849 860),,,,(8.20633065269 1528),(9.41720924456 1714),(2.20452755078 1837),,,(13.6949384713 2361),(12.1819660933 2569),(18.6815498978 2751),(0.754653031398 2872),,(12.8867879378 3175),(9.63383146152 3328),,(14.2359134647 3785),,
Point2,H6,(-8.881784197e-15 205),(-0.0156511079212 413),(4.4408920985e-15 605),(-7.1054273576e-15 812),(10.1601368247 938),(5.3290705182e-15 1016),(-5.3290705182e-15 1213),(-0.01438688453 1432),(8.881784197e-15 1612),(-1.06581410364e-14 1816),(-1.86517468137e-14 2013),(-6.2172489379e-15 2220),(-1.7763568394e-15 2436),(-1.95399252334e-14 2649),(-0.000343653800559 2858),(-0.00598240729614 3050),(-9.7699626167e-15 3234),(-5.3290705182e-15 3437),(-0.0118751886056 3653),(-8.881784197e-15 3839),(1.06581410364e-14 4071),(-0.0350292620622 4252),
Point3,H1,(13.0831201702 179),(13.5100963811 383),(12.1809681748 574),(15.4168421105 763),(7.15660776571 983),(12.8091394391 1188),(11.3457645475 1383),(11.9661749638 1581),(9.6951719617 1782),(6.45659634343 1901),(9.16668534403 1986),(10.3792716227 2182),(11.5969707995 2390),(8.99173727646 2595),(13.0366139238 2791),(9.43403623481 2935),(11.4483999434 2999),(11.130601722 3205),(14.4593224756 3408),(15.0186232198 3606),(11.411297217 3812),(15.500754144 4002),(13.1461921552 4214),(7.46340430183 4420),
Point3,H2,,,,,,,(-0.00355197371581 1433),,(-8.881784197e-15 1816),,,,(-1.15463194561e-14 2439),(0.0774352376435 2621),(0.278434780425 2828),,(-0.00703687606935 3052),(-1.15463194561e-14 3235),,(-1.42108547152e-14 3653),,,,
Point3,H3,,,,,,,(1.75964822355 1459),,(1.98739070466 1838),,,,(7.72382445429 2534),(1.43645422424 2634),(1.36456702451 2843),,(3.03853792484 3087),(2.0473704867 3275),,(7.87237914621 3752),,,,
Point3,H4,,,,,,,(0.946551680529 1479),,(1.82637348985 1847),,,,(6.90979106939 2552),(-1.15463194561e-14 2649),(-1.42108547152e-14 2861),(7.14761143225 2955),(1.88084498468 3108),(1.95395069224 3287),,(7.59966345148 3765),(-0.00843137869429 3839),,,
Point3,H5,,,,,,,(4.97620605223 1531),,(3.19256003173 1867),,,,(8.04735527534 2571),(12.8059291595 2746),(0.406225056733 2875),(7.96760011349 2970),(7.50018551448 3175),(5.46937277872 3327),,(9.49555571459 3787),(1.30957521313 3855),,,
