Cycle,1.02668478261
Average Width,5.03073817167
Width,,4.82935067404,5.32962924863,5.21070422844,4.89189971093,5.22899792814,5.28187560977,5.00743050791,4.99214150948,4.91081856995,5.5284674649,4.06187506198,5.05822157518,5.04673225551,4.88369169001,5.01190417069,4.80367047104,5.55644261215,4.75480828308,5.32677736248,5.02594194731,4.89656446752,5.06570229492,5.29673969355,5.12830509228
Point0,H1,(37.0819349788 118),(32.544955941 340),(37.7623950264 549),(33.7801971203 771),(33.2944285567 985),(35.1775101248 1203),(34.3312418316 1414),(39.4397042501 1637),(35.7628777098 1851),(43.662915902 2071),(30.6597022356 2274),(41.1807572971 2500),(46.7132471227 2709),(34.330924743 2930),(41.0136246432 3140),(41.7226092353 3349),(48.8938199799 3563),(39.5669572575 3781),(43.8868577593 3987),(37.5495677839 4199),(37.0816220044 4419),(33.1595254416 4631),(40.4667778781 4850),(37.0398894359 5062),
Point0,H2,,(-0.0246431965955 438),,(-0.0539957400836 857),,,,(7.86823319433 1739),,(31.412342986 2116),,(1.19971312053 2626),,(2.72925109805 3021),,,,,,(36.4733204226 4209),,(3.86386731522 4729),,,
Point0,H3,,(2.78576846765 477),,(4.5544059539 911),,,,(7.94638410712 1748),,(31.7978912098 2126),,(1.88837133305 2638),,(3.77390840446 3041),,,,,,(36.7595738746 4215),,(4.02689515344 4739),,,
Point0,H4,,(-0.000240852888817 498),(-1.24344978758e-14 647),(3.53768559292 927),,,,(1.38116803834 1791),(-0.00259488804255 1998),(30.4720720922 2143),,(-0.089347798689 2655),,(2.10121836746 3064),,,,,(-8.881784197e-15 4117),(0.40042185261 4344),,(1.47145842352 4779),(2.0739300033 5005),,
Point0,H5,,(0.455134353317 509),(5.06147624992 712),(3.65811292513 935),,,,(3.34442069249 1804),(-8.4387233187e-05 2000),(31.5862989333 2160),,(1.34839822303 2668),,(2.76146284993 3078),,,,,(5.25858200383 4156),(2.21675556605 4362),,(3.10257098235 4794),(3.82007995521 5019),,
Point0,H6,(0.0 300),(-0.0246431965955 438),(-0.000240852888817 498),(-1.24344978758e-14 647),(-0.0128294129442 732),(-0.0539957400836 857),(-7.1054273576e-15 952),(-0.000814458358553 1165),(-0.0778602998726 1326),(-0.00843005818209 1384),(-3.19744231092e-14 1514),(-1.7763568394e-14 1599),(-2.84217094304e-14 1817),(-0.0802912396961 2009),(-0.0450393217299 2241),(-0.24688594698 2371),(-0.0571549022698 2458),(-0.089347798689 2655),(1.7763568394e-15 2891),(0.0 3102),(8.881784197e-15 3246),(-7.1054273576e-15 3319),(-0.0135413006539 3496),(0.0 3739),(-8.881784197e-15 3915),(-8.881784197e-15 4117),(0.0 4379),(0.0 4601),(0.0 4810),(5.3290705182e-15 5033),
Point1,H1,(56.1890939722 119),(47.2674005405 338),(50.4881251064 549),(48.5374699855 771),(46.9904789039 986),(49.9718970647 1203),(50.5307927061 1414),(58.250344048 1636),(56.4766276294 1851),(61.7750047656 2069),(58.9887088133 2274),(60.9421391851 2500),(67.0488867607 2708),(53.4078583724 2930),(59.7143787936 3140),(59.8905492998 3349),(67.9724644764 3566),(64.6419563701 3778),(65.8887085493 3987),(60.1831361939 4199),(60.9883174042 4419),(55.1285297545 4631),(62.9938360176 4851),(61.4461436204 5062),
Point1,H2,,(-0.00997659842971 440),,(-0.00692325334902 865),(15.0908577532 1030),,,(9.18610480656 1763),,(33.6580722615 2118),,(3.37830347754 2629),(28.4308163626 2758),(4.92853964696 3032),,,(31.3341133431 3608),,,(57.5879968994 4211),,,(6.76751330523 4982),,
Point1,H3,,(2.07398164609 477),,(5.19772456213 911),(15.514110032 1038),,,(9.2113816455 1767),,(33.7266129034 2123),,(3.65383592606 2638),(28.6762571397 2763),(5.03923946847 3042),,,(31.4708776264 3612),,,(57.5998174124 4213),,,(6.79724474659 4986),,
Point1,H4,,(-0.124064412586 496),(-0.00729759341006 649),(3.38898158728 926),(6.8441861266 1124),,,(3.25932415503 1790),,(30.1424361541 2147),,(1.26879971621 2654),(4.0297156854 2861),(2.85411588144 3067),,,(6.96132948446 3709),,,(1.76127087311 4344),,(2.4007017747 4779),(3.6957703253 5005),,
Point1,H5,,(0.773278731504 508),(6.51213788882 712),(4.41819719188 938),(7.83792981818 1140),,,(6.05724676922 1803),,(30.5345810638 2157),,(3.06601365984 2667),(5.72825909525 2874),(3.64488836598 3079),,,(9.10277494773 3721),,,(3.80993031454 4361),,(5.12479014288 4794),(6.25363794473 5018),,
Point1,H6,(-0.0633755155925 300),(-0.00997659842971 440),(-0.124064412586 496),(-0.00729759341006 649),(1.59872115546e-14 731),(-0.00692325334902 865),(-3.5527136788e-14 953),(-3.5527136788e-15 1164),(2.48689957516e-14 1301),(1.7763568394e-15 1384),(2.84217094304e-14 1516),(-3.5527136788e-15 1598),(-3.90798504668e-14 1818),(-0.0815366810023 2015),(-0.0538782610016 2241),(-0.15784353915 2376),(-0.0395423883199 2458),(7.1054273576e-15 2678),(-2.13162820728e-14 2891),(7.1054273576e-15 3102),(-7.1054273576e-15 3319),(-0.0159568249912 3497),(-7.1054273576e-15 3739),(5.3290705182e-14 3916),(2.48689957516e-14 4169),(-7.1054273576e-15 4379),(-1.42108547152e-14 4601),(-3.5527136788e-15 4810),(0.0 5033),
Point2,H1,(60.4144859195 118),(62.300788712 339),(60.951438163 549),(58.3680035151 771),(58.9539540165 986),(64.611189819 1203),(62.5131752242 1413),(74.6018586897 1636),(73.9477445879 1851),(82.086509728 2069),(68.780590675 2274),(77.6939790862 2500),(81.4203775984 2709),(67.3600187124 2930),(72.8031775145 3140),(70.8807011961 3349),(86.6266787154 3563),(81.3207550066 3779),(88.0039495866 3987),(81.7784451951 4199),(81.2082217229 4419),(75.9537716861 4631),(86.2772619099 4851),(84.2990562687 5062),
Point2,H2,,(4.27053691972 463),,(-0.0234478898163 863),(24.3296076575 1031),(3.42815792809 1327),,,,(47.8168152443 2118),(15.79109638 2325),,,,(3.32301461614 3268),,(12.9297548329 3683),,(2.89588898798 4120),(78.1330682203 4210),(8.54316727041 4549),,(10.100483865 4983),,
Point2,H3,,(4.68581041997 476),,(6.86243694011 912),(24.6481233348 1037),(4.68852055764 1342),,,,(47.8838856715 2122),(16.5987895268 2333),,,,(3.67925333995 3278),,(13.2512451496 3691),,(2.96141694063 4124),(78.4282689342 4215),(8.79529236398 4556),,(10.1097063986 4985),,
Point2,H4,,(0.767289628921 500),(-0.0162179431541 644),(4.7885754319 927),(8.74198572067 1126),(2.28526549853 1356),,(4.60960648313 1790),(1.07007815508 1994),(42.8681519158 2147),(-0.214214660504 2375),,,(4.19367542163 3069),(2.09351818459 3292),,(9.36370022507 3709),,(1.68649012199 4138),(2.89416592013 4346),(5.52310694661 4572),(5.17159092012 4778),(5.29658637628 5005),,
Point2,H5,,(0.965152262816 506),(8.29834719916 712),(5.34403562485 936),(10.5942232384 1142),(6.1694403374 1371),,(8.61928744099 1803),(1.13260104189 2000),(43.1526399985 2155),(4.44943062987 2439),,,(4.62875333628 3078),(4.79413863431 3306),,(11.7069000728 3721),,(8.23525836466 4155),(4.54674292166 4360),(9.54358542477 4586),(7.82730814335 4793),(8.91893274322 5018),,
Point2,H6,(-3.19744231092e-14 299),(-1.42108547152e-14 515),(-0.0162179431541 644),(1.42108547152e-14 731),(-0.0234478898163 863),(-0.07230811318 952),(-2.84217094304e-14 1164),(-1.06581410364e-14 1385),(-0.00831828780671 1514),(-2.13162820728e-14 1598),(2.84217094304e-14 1818),(-0.0550320475666 2016),(-0.0848235747901 2241),(-0.214214660504 2375),(-0.0377084628532 2458),(3.5527136788e-14 2678),(-2.13162820728e-14 2891),(-3.5527136788e-14 3101),(1.06581410364e-14 3319),(2.13162820728e-14 3499),(-3.5527136788e-15 3739),(-0.0118312980986 3916),(-3.19744231092e-14 4169),(-3.5527136788e-15 4378),(-2.13162820728e-14 4601),(-5.68434188608e-14 4810),(-2.48689957516e-14 5033),
Point3,H1,(37.7266606772 117),(44.5684870045 340),(39.5418801716 549),(35.781510583 771),(40.2724321914 985),(44.9907293574 1203),(40.9686690368 1413),(48.6920798479 1638),(49.0270570371 1850),(60.5798783298 2071),(31.1394314162 2272),(51.9974745542 2500),(53.0657701755 2709),(43.8582883995 2929),(47.3934843587 3140),(41.6399169198 3349),(63.7922611419 3562),(51.9613767433 3780),(64.1553673764 3987),(56.7323902866 4199),(54.8550109069 4419),(54.3407664558 4631),(63.5477892129 4851),(61.3896761622 5062),
Point3,H2,,,,(-0.0760885486069 866),,(5.49880629812 1329),(-0.00746766007817 1514),(17.709548272 1716),,,,,,,(3.35970704809 3248),,(9.53504811045 3682),,,(54.2297760429 4210),,(8.76729865445 4729),,,
Point3,H3,,,,(5.68646121363 912),,(6.16779968911 1340),(2.86184924541 1545),(17.974321533 1725),,,,,,,(3.47260583945 3257),,(10.0481048059 3692),,,(54.6470448356 4216),,(8.99090329097 4739),,,
Point3,H4,,(5.90531189595 469),(-0.0243853872419 642),(3.82976292489 929),,(3.0518637668 1358),(2.80391210713 1551),(3.86762920417 1791),,,,,,(4.34968932016 3070),(1.35773105676 3292),,(7.648655391 3710),,(0.112467345748 4136),(1.69051016514 4346),,(5.09783351065 4778),(4.79096005875 5005),,
Point3,H5,,(5.91957204278 473),(6.8448177071 710),(3.91846302494 935),,(5.3513053602 1371),(6.60789862248 1577),(6.7468084165 1803),,,,,,(4.38010003492 3075),(3.422015435 3307),,(8.58268183631 3720),,(6.01106581889 4155),(3.4066323176 4361),,(6.52947360453 4792),(7.44592150484 5018),,
Point3,H6,(-1.84794645644 31),(-0.00682345752598 299),(-0.043560299106 516),(-0.0243853872419 642),(-3.5527136788e-15 732),(-0.0760885486069 866),(-0.0648296532237 952),(-0.00559826032281 1165),(2.6645352591e-14 1385),(-0.00746766007817 1514),(-0.00406612019188 1598),(-3.5527136788e-15 1818),(-0.15717120391 2013),(-0.125758479536 2244),(-4.09231568071 2358),(-0.0394850130918 2458),(2.13162820728e-14 2677),(-0.00709502036383 2892),(3.90798504668e-14 3103),(4.26325641456e-14 3320),(1.7763568394e-14 3499),(-2.48689957516e-14 3739),(-4.97379915032e-14 3916),(-3.19744231092e-14 4169),(-3.90798504668e-14 4379),(-1.06581410364e-14 4602),(0.0 4810),(1.06581410364e-14 5033),
