Cycle,0.738055555556
Average Width,5.17069470131
Width,,4.85058465664,5.14840620694,4.88568765928,5.05129256725,4.6157052899,5.11866316108,4.97100695179,5.26320695831,4.70431340033,5.08859927817,5.03270922533,5.42880001003,5.28699678507,5.21706929713,5.05650399189,5.18119396232,4.73257817454,4.69324374991,6.34335681404,4.92468281996,5.1687227078,5.154364459,5.15208756758,5.23856376664,5.58883550356,5.8130046506,6.20820490255,6.16954266421
Point0,H1,(10.604588661 27),(12.7486867236 181),(12.02440017 339),(11.4713661854 493),(10.1600063972 648),(11.0696362133 805),(11.7077943195 958),(11.7310478267 1120),(10.367539935 1276),(11.3633145148 1431),(11.1394035509 1581),(12.3707710612 1734),(13.0964832308 1882),(11.3508689247 2037),(10.8607829703 2190),(12.6354846085 2343),(9.5457687652 2502),(8.97759890306 2647),(15.2311817333 2795),(9.70351809327 2953),(9.85426159694 3106),(8.38259878887 3252),(8.64462304943 3414),(9.37731737273 3564),(9.75477465787 3719),(10.8677289324 3872),(12.8450248407 4019),(11.038927349 4168),
Point0,H2,(5.02454776423 64),(6.17623622168 211),(3.50638153379 367),,(4.71618306732 676),(5.52066944039 839),(3.67348162254 1000),(5.79381453837 1148),,,(4.51536545047 1616),(6.89288025231 1762),(6.14880363082 1914),,(4.72493687958 2219),(7.71151577592 2368),,(2.37048170933 2675),,(4.13874153749 2995),(3.4506058641 3136),,,(2.77527418059 3601),,(8.24706908711 3895),,,
Point0,H3,(5.2731695779 75),(7.61079289182 229),(5.50537028507 391),,(5.72435357513 695),(6.22926550423 858),(3.94872257295 1011),(6.52688582036 1163),,,(5.44665990575 1633),(8.00460763913 1780),(6.93967364475 1930),,(5.68186892428 2235),(7.7266853157 2372),,(4.83295857108 2700),,(4.74656893253 3008),(3.99802764096 3149),,,(4.65721447 3620),,(8.95615563042 3909),,,
Point0,H4,(3.99680288865e-15 113),(1.45808426943 274),(1.65454409695 431),,(-0.0021242623562 736),(1.96376838981 887),(-0.00615743764195 1048),(1.07266225846 1219),(5.69739902755 1311),(4.52667038625 1458),(0.986510727078 1671),(1.04215532925 1828),(1.52895930859 1971),,(2.29460750712 2267),(1.79095431018 2436),,(-0.0755906203713 2737),(11.2517784423 2822),(0.605409481838 3039),(0.965678328181 3181),,(4.12761365301 3437),(2.19241845719 3643),(5.62956417691 3742),,(9.06128987841 4043),,
Point0,H5,(1.43370434888 131),(2.2787761674 288),(2.76631275047 447),,(0.529793171119 753),(2.92644324943 904),(1.1042946581 1071),(2.24632605968 1233),(7.32216006336 1331),(6.27730716852 1483),(1.03236134051 1678),(1.33136053709 1839),(1.6583676241 1980),,(2.4398446517 2276),(2.29955600342 2448),,(0.243223679148 2752),(13.0990216903 2846),(2.92249453312 3058),(1.19134958503 3192),,(5.78555374709 3464),(2.44603671233 3654),(6.21077554737 3769),,(11.6012428538 4064),,
Point0,H6,(-0.0106214624271 1),(3.99680288865e-15 113),(1.24344978758e-14 307),(-6.2172489379e-15 465),(-0.0232281194093 617),(-0.0021242623562 736),(-7.1054273576e-15 927),(-0.00615743764195 1048),(-7.1054273576e-15 1249),(-2.30926389122e-14 1403),(-7.9936057773e-15 1550),(-0.00726903159561 1696),(5.3290705182e-15 1854),(-0.00497013983683 2005),(-0.000327162414175 2131),(9.7699626167e-15 2301),(1.33226762955e-14 2467),(-0.0522955846215 2603),(-0.0755906203713 2737),(-0.00414262217477 2922),(-5.77315972805e-15 3076),(8.881784197e-16 3213),(-2.22044604925e-15 3347),(-1.24344978758e-14 3533),(-1.06581410364e-14 3692),(-0.0036254961448 3832),(-0.00158090522119 3983),(-0.00448389581713 4131),
Point1,H1,(15.3267762527 27),(17.4005932026 181),(17.1344209189 339),(15.6400760444 492),(15.7634905234 648),(15.9937590017 804),(16.8528779464 957),(16.8353307754 1119),(15.9726905839 1275),(15.8066379652 1431),(16.0965790561 1580),(16.6797211399 1732),(17.8912547051 1881),(16.3067177965 2038),(15.9472678341 2188),(17.2022047879 2343),(14.4685738331 2498),(14.2763414465 2647),(17.7919147324 2797),(15.172389022 2952),(14.0466136162 3105),(13.4288080862 3253),(14.1992363361 3414),(14.2649305538 3564),(13.5608122036 3719),(15.1467257995 3867),(16.4818783768 4017),(14.5040647038 4167),
Point1,H2,(5.84529893116 61),(7.44926295512 209),(5.53798616126 367),(5.35800666943 525),(6.54106226513 675),(7.21535405078 834),(7.09283082935 994),(7.14491369917 1151),,(5.53919222138 1455),(7.04873591081 1614),(7.36685319771 1760),(7.62629221008 1914),(5.95473945783 2063),(6.68563477861 2222),(8.05849526089 2369),,(4.14008824929 2674),,(6.92339060785 2996),(5.59543479189 3136),(5.96594582448 3280),(6.47422561099 3439),(4.87111321227 3599),,(9.20135777239 3896),,,
Point1,H3,(6.9739022739 77),(9.18535408512 228),(7.74646566181 388),(7.4492150692 544),(7.85466073374 694),(8.47194008941 854),(7.61723794733 1007),(9.16692902553 1170),,(8.04144213258 1482),(8.53819150684 1631),(9.59653819727 1781),(8.53768617783 1930),(6.70423390871 2075),(7.87618846504 2238),(8.83528800794 2387),,(6.71269365428 2698),,(7.01807247594 3003),(6.48296426144 3150),(6.95758911444 3296),(7.89323704864 3461),(6.15528535208 3617),,(10.0717643784 3912),,,
Point1,H4,(0.399158965949 114),(1.92876472193 276),(1.85912584528 434),(2.19546713328 575),(0.986335474336 740),(2.67733695736 895),(1.62760005487 1056),(1.85771991331 1220),(6.68435930487 1310),(2.09287674281 1525),(2.03514384496 1669),(1.42130278186 1831),(1.82696914645 1970),(1.11801216176 2131),(2.14518855721 2274),(2.11500616478 2436),,(0.353004356334 2738),(10.7287452411 2830),(1.31067920133 3042),(1.40716701817 3185),(0.773700911045 3348),(2.01739789472 3510),(2.06686045387 3648),(5.59592410061 3743),(2.49549534481 3962),(9.45308059929 4046),,
