Cycle,0.744565217391
Average Width,4.3212818248
Width,,4.82576823616,4.69652920666,4.54422168762,4.30219515126,4.25750160062,4.58412510512,4.47147419406,4.26259641812,4.26004879248,4.16582109979,4.39110673104,4.3009963593,4.12626602995,4.6637708647,4.87744771726,4.01419428833,4.17335923853,4.22216735511,4.08339140534,4.20864608239,4.06217981744,4.26079813897,3.87735365986,4.71438358767
Point0,H1,(11.7529979826 114),(12.7638001197 272),(10.4607342987 433),(9.86810499452 580),(11.8715713179 739),(15.630897639 895),(16.3079320621 1047),(17.2427223499 1204),(15.7900317877 1361),(14.9047899997 1521),(15.6091572416 1680),(14.0826345729 1826),(15.3929385104 1985),(18.538925478 2145),(16.0904200852 2305),(12.7579282359 2454),(14.538076532 2610),(12.0142517899 2767),(11.461358689 2928),(9.32531034688 3086),(8.76712981713 3231),(12.1384189542 3392),(9.12854548757 3553),(16.4375331351 3699),
Point0,H2,,(8.881784197e-16 330),,,,,(5.21054691415 1089),,,(3.40500786695 1581),,,,,,(2.00187891227 2493),,,,,,,(0.704181106285 3582),,
Point0,H3,,(0.640659070806 349),,,,,(5.21403176368 1091),,,(3.65910142233 1593),,,,,,(2.2000404322 2501),,,,,,,(0.97235759579 3591),,
Point0,H4,,(0.638152844506 351),(7.9936057773e-15 489),(0.118550619639 621),(1.7763568394e-15 807),(6.2172489379e-15 969),,,(-0.0667847473193 1444),(-5.3290705182e-15 1632),(-0.196198017597 1761),(0.106019425876 1905),,,(4.07525237125 2365),(-0.0149150947263 2526),,(-0.00375649990497 2837),,(-0.0060023747321 3118),,(0.141325290642 3475),,,
Point0,H5,,(1.8961174427 375),(1.788068793 533),(0.551897870028 632),(1.57622627959 829),(0.816564888339 991),,,(1.361344948 1461),(15.5475377929 1664),(0.481477562353 1779),(1.29586969803 1924),,,(4.3180760134 2376),(2.53246870916 2552),,(1.79160303849 2868),,(1.70227880664 3159),,(0.98131246825 3492),,,
Point0,H6,(-2.6645352591e-15 188),(8.881784197e-16 330),(7.9936057773e-15 489),(-0.00756864766832 647),(1.7763568394e-15 807),(6.2172489379e-15 969),(-0.000215420164491 1155),(5.3290705182e-15 1279),(-0.0667847473193 1444),(-5.3290705182e-15 1632),(-0.196198017597 1761),(-4.4408920985e-16 1941),(-0.0174119533397 2069),(-0.0353909959919 2233),(-0.0215399899166 2414),(-0.0149150947263 2526),(-0.114429318209 2692),(-0.00375649990497 2837),(5.77315972805e-15 2985),(-0.0060023747321 3118),(-0.00415596458428 3198),(-0.000370810828023 3299),(-0.00336270842634 3507),(-0.0640750440755 3607),
Point1,H1,(19.1585443279 92),(20.6663383237 251),(17.8093259639 411),(19.1328048317 558),(22.8513904242 717),(25.8026926081 874),(28.8553074173 1025),(30.7561107571 1180),(28.7324687641 1339),(28.0639266524 1498),(28.4967572371 1644),(25.8620703083 1804),(28.4215864466 1963),(31.4668507684 2122),(27.190462399 2281),(25.6738840539 2430),(29.0414714359 2588),(24.6471912 2747),(23.0837343475 2905),(20.3707188523 3058),(19.4401069036 3212),(23.222435693 3370),(21.4261471127 3530),(24.9310444245 3677),
Point1,H2,,(-0.00772032531302 311),,,,,(9.36027852216 1064),,,,,,,,,,,(0.484391659583 2809),,(2.21543015199 3097),,(1.6537855429 3432),,
Point1,H3,,(0.0476308069198 319),,,,,(9.4678159579 1069),,,,,,,,,,,(0.501409752883 2813),,(2.68256417785 3106),,(1.7098313343 3438),,
Point1,H4,(0.0332778697785 170),(-0.0759592277614 329),(1.7763568394e-14 468),(-0.00366873428876 626),(-0.00138064698283 791),(0.065120884282 956),(2.62457617579 1100),(1.95399252334e-14 1263),(0.837056809669 1422),,(-0.0239396136678 1744),(0.049241887196 1885),(-0.0186906548906 2046),(-0.0189778712709 2210),(4.34224484037 2350),(-0.000790709763484 2506),(-0.0314537606336 2666),(-0.111648586544 2829),,(1.16351930432 3124),(-4.4408920985e-15 3282),(0.924730598724 3455),,
Point1,H5,(0.519889558404 188),(1.93875473551 351),(0.478145418195 482),(1.95671171242 652),(1.57180141918 814),(1.14799178038 972),(2.64369934347 1104),(0.877638727258 1281),(2.8570460183 1438),,(0.257357199811 1755),(2.00805804627 1903),(1.99383743732 2063),(0.532031231801 2221),(4.36629839685 2356),(2.17873896558 2528),(0.581080543672 2684),(1.1935387273 2846),,(2.12319854128 3143),(3.29564998073 3309),(1.77854636144 3469),,
Point1,H6,(-4.4408920985e-15 202),(-0.0759592277614 329),(1.7763568394e-14 468),(-0.00366873428876 626),(-0.00138064698283 791),(2.6645352591e-14 985),(2.6645352591e-14 1137),(1.95399252334e-14 1263),(-1.42108547152e-14 1453),(-1.7763568394e-15 1610),(-0.36101091407 1766),(-1.50990331349e-14 1918),(-0.0186906548906 2046),(-0.518680282109 2233),(-0.0218489684459 2391),(-0.000790709763484 2506),(-0.0314537606336 2666),(-0.111648586544 2829),(-1.7763568394e-15 2964),(2.6645352591e-15 3176),(-4.4408920985e-15 3282),(-3.5527136788e-15 3484),(-0.0301664240911 3588),
Point2,H1,(12.7142083826 89),(13.5444703074 248),(11.010224666 411),(11.4235914608 554),(11.9936844895 711),(15.5928390759 871),(16.6185374299 1018),(17.7994934736 1176),(17.1269586218 1335),(16.3623377814 1498),(17.9848832688 1640),(15.9524277755 1800),(16.8786847197 1962),(19.8709955342 2122),(19.1752946842 2282),(15.2987470521 2429),(18.7562190255 2585),(15.770258977 2744),(14.9159542046 2904),(14.0617894337 3050),(13.8037611912 3208),(16.2469281558 3368),(14.1744865798 3530),(15.1971940683 3671),
Point2,H2,,,,,,,,,,,,,,,,,,,(0.835974080204 2964),(3.19814595045 3096),,(1.59728349139 3434),,,
Point2,H3,,,,,,,,,,,,,,,,,,,(1.33038487329 2977),(3.37901673723 3104),,(1.62756672249 3439),,,
Point2,H4,(0.652689310273 170),(-0.00676333872628 330),(-3.5527136788e-15 473),(-0.00652436950695 627),(0.503424340298 790),(0.849406392075 956),(7.8151937462 1061),(-0.0026732730462 1262),(0.946869865645 1420),,(17.2347769696 1651),(0.285762074267 1884),(-0.0319511936743 2043),(-0.0481977411059 2211),,(0.339346825764 2507),(-0.0538457660305 2670),(-0.142856900731 2830),(0.956019521772 2990),(1.46160470922 3132),(8.881784197e-16 3281),(1.40130893246 3452),,,
Point2,H5,(0.697850799774 179),(1.11001093968 349),(0.591485053509 507),(0.997430019439 650),(1.79761113869 812),(0.965185074644 967),(7.95961031274 1068),(0.509950969105 1278),(2.59037832505 1437),,(17.3432673352 1657),(1.17040846444 1901),(1.68985267619 2062),(0.0765177100106 2219),,(0.924490804034 2523),(0.224492612083 2685),(1.35813571794 2846),(1.5806019605 3003),(1.87339167513 3149),(2.27790254035 3308),(2.19948371216 3467),,,
Point2,H6,(-0.00749805623953 1),(-6.2172489379e-15 200),(-0.00676333872628 330),(-3.5527136788e-15 473),(-0.00652436950695 627),(-8.881784197e-16 830),(-8.881784197e-15 983),(-7.9936057773e-15 1134),(-0.148956590758 1294),(8.881784197e-15 1453),(-3.5527136788e-15 1609),(-0.0209687995974 1765),(8.881784197e-15 1916),(-0.0319511936743 2043),(-0.67739990588 2232),(-0.0160830266533 2392),(-1.7763568394e-15 2539),(-0.1011980227 2697),(-0.142856900731 2830),(-8.881784197e-16 3018),(2.6645352591e-15 3174),(8.881784197e-16 3281),(-2.6645352591e-15 3484),(-3.5527136788e-15 3589),
Point3,H1,(8.51807675037 85),(8.2014405086 244),(6.37913176986 411),(6.52364953376 548),(6.26869397477 701),(8.77228341818 865),(9.5597759851 1012),(8.02945552654 1172),(8.16856305184 1331),(7.26218041975 1506),(10.2314059945 1636),(8.26333425894 1797),(6.68401274856 1966),(12.6806095076 2101),(13.9081930629 2284),(6.0851969852 2423),(9.71400214521 2578),(9.03136060345 2740),(6.89493169675 2888),(8.58290354507 3047),(7.25813796776 3203),(8.77804528172 3367),(6.02501819114 3511),(7.97440235087 3668),
Point3,H2,(2.44791152725 133),,(2.07993928157 439),(5.52342474235 564),(2.39126662449 725),(5.75019091694 890),(7.47719891008 1029),(7.06988060812 1187),,,(8.71694716473 1650),(7.21264119171 1812),(6.12002474272 1984),(11.453453539 2114),,(5.78456028117 2433),,,(1.18757013019 2965),(7.88337243057 3060),(5.42670952407 3221),,(5.67608785694 3521),,
Point3,H3,(2.51069217122 140),,(2.09684125589 443),(5.56529202025 569),(3.290128768 741),(5.75161808046 892),(7.72650949011 1039),(7.39411790998 1199),,,(9.86306196811 1663),(7.39095805331 1822),(6.16414736625 1990),(12.1490495655 2126),,(6.04277406902 2443),,,(1.47711324895 2980),(7.90383574899 3064),(5.49821817851 3227),,(5.83390401757 3530),,
Point3,H4,(0.581751779049 166),,(0.226549910756 466),(-0.0154552166603 633),(0.400629731212 789),(-0.0971367312682 953),(6.45597651621 1060),,(0.141511390858 1420),(3.71065471044 1560),,(0.444431787667 1889),(-0.0866165696298 2043),,,(0.114710668968 2511),,(0.254350616864 2830),(1.39281216163 2990),(1.61146672077 3126),(-0.00174387137237 3285),(0.838153769116 3448),(-5.3290705182e-15 3587),,
Point3,H5,(0.696922549787 177),,(0.757603783525 480),(0.672910966794 652),(1.48877369529 811),(0.233204076257 971),(6.48465928791 1065),,(1.95446848626 1438),(3.81576745886 1569),,(0.877834991046 1901),(1.07191570484 2063),,,(0.51341195014 2525),,(0.633736603499 2844),(1.47984970316 3000),(1.93717368403 3141),(0.99817597126 3309),(1.36013686725 3466),(1.41227519227 3629),,
Point3,H6,(-0.0901561558573 6),(9.7699626167e-15 199),(-0.00190226266204 335),(7.32747196253e-15 497),(-0.0154552166603 633),(1.33226762955e-15 830),(-0.0971367312682 953),(-0.00312344831419 1135),(-0.0103887104369 1290),(3.99680288865e-15 1454),(9.7699626167e-15 1609),(-0.0149644378634 1767),(-1.55431223448e-15 1916),(-0.0866165696298 2043),(-0.0793135745835 2227),(-1.08801856413e-14 2395),(-0.0032736650332 2538),(-0.0377951700131 2694),(-2.6645352591e-15 2858),(-1.06581410364e-14 3018),(-7.1054273576e-15 3174),(-0.00174387137237 3285),(-0.00182844028418 3483),(-5.3290705182e-15 3587),
