Cycle,0.822631578947
Average Width,3.16150562036
Width,,3.35416842101,3.43372773859,3.13595224392,3.08371184817,3.14982973213,3.18475363571,3.21446065947,3.16288296227,3.14459423357,3.29618552061,3.06313264049,2.93549915091,3.18844264378,3.13821361003,3.10377978124,3.20699935974,3.40456170543,3.05926643626,3.07507189639,2.9859602651
Point0,H1,(10.878876132 36),(10.7436745179 210),(8.83908080258 389),(9.26707969523 564),(9.94704903696 742),(9.17850286057 918),(9.13977280867 1092),(8.59103342953 1270),(9.47437852007 1444),(10.5469375822 1620),(7.98439355686 1784),(7.7372312427 1944),(8.51439488251 2118),(8.17499018392 2292),(8.49693995115 2458),(9.44320536062 2639),(9.00569648181 2819),(8.15095983917 2982),(7.65390158221 3160),(7.49390953416 3338),
Point0,H2,,,,(3.48304938787 618),,,(1.50523202954 1174),(2.4358941426 1350),(2.50561633614 1524),,,,(3.71410979054 2169),,,(3.18320636356 2706),,(3.00773368596 3029),,
Point0,H3,,,,(3.54426029132 628),,,(1.6100013072 1183),(2.45203171862 1354),(2.57698870984 1532),,,,(3.71920337008 2172),,,(3.2511833424 2716),,(3.31628972366 3040),,
Point0,H4,(1.68897198931 144),,,(7.1054273576e-15 690),(1.88644463533 837),(1.05058387246 1021),(0.999384916495 1199),(0.805863102925 1378),(1.37458250671 1556),(4.57041986881 1668),,,,(1.32965494007 2401),,(0.715004719862 2752),(0.141076060599 2936),(0.575478570038 3101),,
Point0,H5,(2.04465985662 155),,,(0.466779105099 703),(2.01948380719 849),(1.42749842283 1035),(1.66063321652 1213),(1.05302862256 1389),(1.37775669524 1559),(4.65296673946 1676),,,,(1.35615576184 2407),,(1.2695817975 2765),(0.142988307007 2939),(0.633231238763 3112),,
Point0,H6,(-0.000968056614091 174),(6.66133814775e-15 349),(5.3290705182e-15 527),(7.1054273576e-15 690),(6.66133814775e-15 885),(3.99680288865e-15 1054),(8.881784197e-16 1229),(0.0 1405),(5.77315972805e-15 1584),(3.10862446895e-15 1752),(-8.65113208519e-05 1913),(4.4408920985e-16 2079),(3.5527136788e-15 2251),(9.32587340685e-15 2427),(5.3290705182e-15 2603),(0.0 2781),(8.881784197e-16 2949),(-2.6645352591e-15 3129),(-2.6645352591e-15 3305),
Point1,H1,(15.0176785837 35),(15.0385080781 207),(13.4877996032 387),(14.3587374031 563),(15.1957718055 740),(14.3201899221 916),(14.1705873895 1090),(13.8205261141 1264),(15.0885760106 1442),(15.3847355561 1619),(13.6742933025 1782),(13.6810125294 1942),(13.9674732924 2115),(13.5119795004 2282),(13.9919768949 2456),(14.9979937014 2637),(14.0237208806 2813),(13.7694354221 2981),(13.6784690319 3158),(13.2238392875 3334),
Point1,H2,(5.73257723772 87),,(5.13890906183 436),,,,,,,,,,,,,,,(4.14431179465 3028),,
Point1,H3,(5.75483463948 92),,(5.24849445781 444),,,,,,,,,,,,,,,(4.57868532579 3039),,
Point1,H4,(1.80085196989 142),,(2.17012919279 492),(4.39265954439 615),,(1.56744206081 1016),(0.601038994348 1197),(1.48676468105 1375),(1.56071411373 1552),(5.49467293959 1667),(1.81491895588 1891),,,(1.68758019649 2398),(2.35556357138 2575),(1.24931798933 2752),(0.496238035197 2932),(0.730555615938 3104),,
