Cycle,0.779035087719
Average Width,3.76598806933
Width,,4.38535435131,3.90619428627,3.66594852492,3.94462471227,3.78481193133,3.82006203867,3.7278796746,3.6188427937,3.79778779523,3.77885056607,3.73285534333,3.66349345358,3.70540769892,3.96231053849,3.72912221352,3.51883145943,3.62229133322,3.98627454007,3.85441283733,3.60760355106
Point0,H1,(8.90628051379 30),(8.72873353265 197),(8.22357250583 369),(9.0491821759 530),(8.52288082805 692),(8.60673929977 854),(8.10069450028 1022),(8.91501222436 1187),(9.86787137507 1351),(7.55635555933 1517),(7.81849535319 1684),(7.21009090902 1846),(6.76836326073 2003),(8.71027950205 2165),(6.60532634205 2335),(5.31448285865 2502),(6.49156465208 2664),(7.10164876289 2832),(5.48964000683 2996),(6.69879189752 3159),
Point0,H2,,(3.56295712067 242),(4.11955263885 396),(4.19150420085 564),,,(3.94803451341 1058),,,(4.2170216282 1552),,,(1.99268389085 2054),,,(3.45206831462 2528),(2.57180349692 2708),,,
Point0,H3,,(4.16554965719 256),(5.65768354956 420),(4.24422902832 572),,,(4.23960262725 1071),,,(4.8847562502 1568),,,(2.07937544017 2062),,,(3.46873105845 2535),(3.32286751207 2730),,,
Point0,H4,,(2.74747745332 275),(2.02900190591 468),(2.60127471667 599),,,(1.6987789493 1121),(1.24873147116 1295),(1.41989949882 1457),(2.12547671627 1616),,(3.97274779953 1873),(0.997493208229 2081),,(4.87157285902 2373),(-0.0101912426806 2609),(1.91271460457 2767),,,
Point0,H5,,(3.38849226727 291),(2.03801706782 472),(2.67089677956 607),,,(1.84273517644 1130),(1.79284085565 1308),(1.73066689867 1469),(2.19371705391 1624),,(4.71586363478 1890),(2.30999453711 2100),,(4.90423068471 2379),(0.766209458592 2624),(1.91645945238 2770),,,
Point0,H6,(-8.881784197e-16 172),(-4.4408920985e-15 335),(-1.7763568394e-15 495),(-2.6645352591e-15 661),(-4.4408920985e-15 827),(6.66133814775e-15 991),(7.1054273576e-15 1151),(-1.7763568394e-15 1325),(1.7763568394e-15 1486),(1.7763568394e-15 1650),(1.33226762955e-15 1810),(8.881784197e-16 1969),(-0.00465222604641 2132),(-1.7763568394e-15 2303),(-0.000299074476262 2470),(-0.0101912426806 2609),(0.0 2798),(-2.22044604925e-15 2958),(-0.00179939137306 3131),
Point1,H1,(9.53997563947 31),(10.6741834118 198),(10.4540499325 368),(11.3320876637 530),(10.5374235645 692),(10.7252629657 854),(10.4750718364 1021),(11.8002459281 1187),(13.1484457514 1351),(10.7572443096 1518),(11.7793989964 1684),(11.4609730277 1844),(10.6019551863 2003),(13.6262676651 2165),(10.6237085598 2333),(9.3407704459 2500),(11.1642788906 2662),(11.2784951628 2830),(10.0824616494 2996),(11.0829058444 3158),
Point1,H2,(0.95689587916 117),,(5.22493365389 395),,(5.4174305728 716),,,,,(6.08460065047 1551),(6.20081370367 1733),(6.10153949308 1874),,(6.51424408937 2214),(7.02050760106 2372),(5.7914910252 2527),(4.3302484148 2709),(5.8808341692 2868),,
Point1,H3,(1.49369150355 130),,(6.92430405765 420),,(5.57318903848 724),,,,,(6.77954395033 1567),(6.20405757162 1736),(6.41458446407 1889),,(6.5375906744 2219),(7.12067996768 2380),(5.79402975256 2530),(5.26847787412 2731),(5.9481533039 2875),,
Point1,H4,(0.618969839708 146),(4.46273667629 241),(3.04399254973 465),,(5.35754743999 736),,(1.66189065172 1119),(2.24566352835 1297),,(3.02595366985 1615),(2.92424574415 1778),(2.09168845683 1933),,(2.35967035629 2273),(3.84811227553 2408),(0.510498749315 2609),(2.54563565412 2767),(0.906160813729 2928),,
Point1,H5,(1.12892774574 158),(5.68735306922 258),(3.08314248825 471),,(5.55199652546 747),,(1.9720248973 1131),(2.33109402414 1305),,(3.10031597792 1623),(2.93977052651 1782),(2.2891226691 1944),,(3.00292844794 2285),(3.91890678568 2415),(1.24237965266 2622),(2.72287754362 2776),(1.12554761933 2940),,
Point1,H6,(-0.00136170069531 171),(-0.00554564627453 333),(4.4408920985e-15 496),(3.5527136788e-15 662),(7.9936057773e-15 827),(0.0 990),(-5.3290705182e-15 1152),(-4.4408920985e-15 1324),(-1.06581410364e-14 1486),(-8.881784197e-15 1650),(-1.06581410364e-14 1811),(-8.881784197e-15 1970),(5.3290705182e-15 2137),(4.4408920985e-15 2303),(1.7763568394e-15 2466),(-3.5527136788e-15 2636),(-1.7763568394e-15 2798),(-1.7763568394e-15 2960),(4.4408920985e-15 3132),
Point2,H1,(6.10486219486 30),(6.9878592901 200),(6.42296988472 369),(7.77077893487 530),(6.62467387425 692),(6.93153352932 854),(6.7992217335 1024),(7.45450905493 1188),(9.13091424577 1353),(7.92992277217 1517),(8.96355126575 1684),(8.85104021068 1845),(8.23298354744 2004),(11.5268653283 2165),(8.48904948929 2344),(7.28077562013 2501),(8.96234351788 2663),(9.70315081056 2831),(9.08983158908 2996),(8.61342986495 3159),
Point2,H2,,(3.18920029743 239),(3.28807758654 394),,(2.89838613598 718),(5.2151615633 872),,,(4.55718810535 1399),(4.38365550918 1549),,(4.73098199622 1874),,(1.9827674753 2274),,(4.74470113967 2527),(3.68753561294 2708),,,
Point2,H3,,(3.89659071046 256),(4.91698221849 423),,(4.10855231379 745),(5.37309845014 881),,,(4.59314975375 1405),(5.38552901784 1568),,(5.17215907578 1891),,(2.35257065405 2285),,(4.75510251693 2531),(4.72083639065 2734),,,
Point2,H4,,(2.66698408281 278),(2.19554132701 465),,(0.82317909891 801),(0.50675192139 959),(1.09919233321 1119),(1.5008352029 1283),(1.53793634996 1457),(2.47991290937 1605),(4.72357419839 1732),(1.94245258235 1933),(1.54620295051 2081),(-1.7763568394e-15 2303),(3.30946905908 2408),(0.899896305251 2609),(2.61675403132 2769),,,
Point2,H5,,(2.84075091679 291),(2.21510806211 470),,(0.978281465747 812),(1.29812093611 975),(1.39545114128 1132),(1.83794178031 1302),(1.73407307727 1467),(2.87926484532 1622),(4.89410442201 1742),(1.95741528058 1938),(2.86986138141 2101),(8.48169552666 2336),(3.34452060393 2414),(1.55121931816 2622),(2.66009539342 2775),,,
Point2,H6,(7.1054273576e-15 172),(-4.4408920985e-16 334),(-2.22044604925e-15 496),(-0.00144221982967 663),(-1.33226762955e-15 828),(1.33226762955e-15 991),(8.881784197e-16 1153),(4.4408920985e-16 1324),(-3.5527136788e-15 1486),(8.881784197e-16 1652),(-0.00343393331989 1811),(-1.33226762955e-15 1969),(-0.00117526830484 2133),(-1.7763568394e-15 2303),(-2.22044604925e-15 2467),(-2.6645352591e-15 2637),(-1.7763568394e-15 2798),(-0.00224529775465 2958),(-5.3290705182e-15 3133),
